gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
7424-10104,complete,https://lpl.qq.com/es/stats.shtml?bmid=7424,LDL,2021,Spring,0,2021-04-30 06:56:00,1,11.06,100,Blue,team,,LNG Academy,,Zoe,Tahm Kench,Olaf,Lee Sin,Sion,2314,1,23,11,60,23,11,3,0,0,0,1,,,,0.5964,0.8816,0,2,3,2,3,1,0,0,1,,0,0,1,1,1,1,2,1,1,10,4,0,1,3,0,82832,2147.7615,,3296.1625,3625.8254,141,3.6560,51,1.3224,51,315,8.1677,74929,49948,1295.1080,,70850,0.0560815,,,284,183,32,,16013,18865,335,16264,19666,351,-251,-801,-16,2,1,2,2,3,2,26108,30381,537,25057,31400,554,1051,-1019,-17,3,3,3,3,4,3
7424-10104,complete,https://lpl.qq.com/es/stats.shtml?bmid=7424,LDL,2021,Spring,0,2021-04-30 06:56:00,1,11.06,200,Red,team,,Top Esports Challenger,,Hecarim,Renekton,Udyr,Irelia,Gnar,2314,0,11,23,24,11,23,0,0,0,0,0,,,,0.2852,0.8816,1,3,2,3,2,2,1,0,0,,0,0,0,1,1,0,1,2,0,4,10,1,0,0,3,78124,2025.6871,,3116.7329,2537.5022,109,2.8263,58,1.5039,43,275,7.1305,67927,42946,1113.5523,,66985,-0.0560815,,,286,204,13,,16264,19666,351,16013,18865,335,251,801,16,2,3,2,2,1,2,25057,31400,554,26108,30381,537,-1051,1019,17,3,4,3,3,3,3
7423-10102,complete,https://lpl.qq.com/es/stats.shtml?bmid=7423,LDL,2021,Spring,0,2021-04-30 06:59:00,2,11.06,1,Blue,top,Solokill,WanZhen Esports Club,Aatrox,Nidalee,Udyr,Sylas,Volibear,Galio,1736,1,4,2,5,19,10,0,0,0,0,0,0,0,0,0.6567,1.0023,,,,,,,,,,,,,,,,,,,,,,,,,,12509,432.3387,0.195799,801.1175,643.1682,9,0.3111,0,0.0000,5,18,0.6221,10625,6808,235.2995,0.192834,10175,,197,182,15,13,1,6.8088,3435,4557,79,4063,5344,106,-628,-787,-27,1,1,0,1,0,0,5233,7245,132,5967,8087,165,-734,-842,-33,1,1,0,1,1,0
7423-10102,complete,https://lpl.qq.com/es/stats.shtml?bmid=7423,LDL,2021,Spring,0,2021-04-30 06:59:00,2,11.06,2,Blue,jng,yyy,WanZhen Esports Club,Olaf,Nidalee,Udyr,Sylas,Volibear,Galio,1736,1,1,2,11,19,10,0,0,0,0,0,0,0,0,0.6567,1.0023,,,,,,,,,,,,,,,,,,,,,,,,,,8353,288.6982,0.130746,931.3825,666.9816,7,0.2419,9,0.3111,9,29,1.0023,9580,5763,199.1820,0.163234,8875,,158,16,142,103,5,5.4608,2987,3326,59,3020,3302,65,-33,24,-6,0,2,1,0,1,1,4591,4944,87,4751,5312,101,-160,-368,-14,0,3,2,1,1,1
7423-10102,complete,https://lpl.qq.com/es/stats.shtml?bmid=7423,LDL,2021,Spring,0,2021-04-30 06:59:00,2,11.06,3,Blue,mid,XXX,WanZhen Esports Club,Seraphine,Nidalee,Udyr,Sylas,Volibear,Galio,1736,1,1,1,14,19,10,0,0,0,0,0,0,0,0,0.6567,1.0023,,,,,,,,,,,,,,,,,,,,,,,,,,8755,302.5922,0.137039,331.7972,206.8894,13,0.4493,6,0.2074,5,33,1.1406,10143,6326,218.6406,0.179181,9275,,213,193,20,8,0,7.3618,3101,4175,75,3305,4575,91,-204,-400,-16,0,3,0,0,1,0,5080,7159,134,5188,7171,142,-108,-12,-8,0,3,0,0,1,0
7423-10102,complete,https://lpl.qq.com/es/stats.shtml?bmid=7423,LDL,2021,Spring,0,2021-04-30 06:59:00,2,11.06,4,Blue,bot,Thesnake,WanZhen Esports Club,Kai'Sa,Nidalee,Udyr,Sylas,Volibear,Galio,1736,1,12,2,6,19,10,1,1,0,0,1,1,0,0,0.6567,1.0023,,,,,,,,,,,,,,,,,,,,,,,,,,26411,912.8226,0.413402,530.3226,392.6959,11,0.3802,11,0.3802,4,32,1.1060,16312,12495,431.8548,0.353917,14050,,323,281,42,22,3,11.1636,4324,3370,94,2314,2304,5,2010,1066,89,2,2,0,0,1,1,7030,5501,154,3460,3485,8,3570,2016,146,4,2,0,0,2,3
7423-10102,complete,https://lpl.qq.com/es/stats.shtml?bmid=7423,LDL,2021,Spring,0,2021-04-30 06:59:00,2,11.06,5,Blue,sup,JKJK,WanZhen Esports Club,Rell,Nidalee,Udyr,Sylas,Volibear,Galio,1736,1,1,3,15,19,10,0,0,0,0,1,0,1,0,0.6567,1.0023,,,,,,,,,,,,,,,,,,,,,,,,,,7859,271.6244,0.123014,523.4447,750.4147,45,1.5553,6,0.2074,15,66,2.2811,7730,3913,135.2419,0.110834,7075,,32,32,0,0,0,1.1060,2634,2447,13,2891,2734,67,-257,-287,-54,1,3,0,0,1,2,4019,4299,23,4365,4408,105,-346,-109,-82,1,5,0,0,2,2
7423-10102,complete,https://lpl.qq.com/es/stats.shtml?bmid=7423,LDL,2021,Spring,0,2021-04-30 06:59:00,2,11.06,6,Red,top,mogu,eStar Young,Renekton,Taliyah,Hecarim,Thresh,Gnar,Twisted Fate,1736,0,4,2,6,10,19,0,0,0,0,0,0,0,0,0.3456,1.0023,,,,,,,,,,,,,,,,,,,,,,,,,,18042,623.5714,0.284754,843.6636,740.9447,8,0.2765,13,0.4493,2,44,1.5207,13040,9223,318.7673,0.312285,12230,,290,275,15,6,4,10.0230,4063,5344,106,3435,4557,79,628,787,27,1,0,0,1,1,0,5967,8087,165,5233,7245,132,734,842,33,1,1,0,1,1,0
7423-10102,complete,https://lpl.qq.com/es/stats.shtml?bmid=7423,LDL,2021,Spring,0,2021-04-30 06:59:00,2,11.06,7,Red,jng,Emit,eStar Young,Graves,Taliyah,Hecarim,Thresh,Gnar,Twisted Fate,1736,0,1,4,5,10,19,0,0,0,0,0,0,0,0,0.3456,1.0023,,,,,,,,,,,,,,,,,,,,,,,,,,9854,340.5760,0.155524,669.5392,423.6982,12,0.4147,10,0.3456,11,48,1.6590,9546,5729,198.0069,0.19398,9475,,215,50,165,118,12,7.4309,3020,3302,65,2987,3326,59,33,-24,6,0,1,1,0,2,1,4751,5312,101,4591,4944,87,160,368,14,1,1,1,0,3,2
7423-10102,complete,https://lpl.qq.com/es/stats.shtml?bmid=7423,LDL,2021,Spring,0,2021-04-30 06:59:00,2,11.06,8,Red,mid,GYU,eStar Young,Zoe,Taliyah,Hecarim,Thresh,Gnar,Twisted Fate,1736,0,3,0,5,10,19,0,0,0,0,0,0,0,0,0.3456,1.0023,,,,,,,,,,,,,,,,,,,,,,,,,,20088,694.2857,0.317045,236.1636,104.5507,11,0.3802,6,0.2074,2,29,1.0023,10403,6586,227.6267,0.222997,9200,,228,216,12,12,0,7.8802,3305,4575,91,3101,4175,75,204,400,16,0,1,0,0,3,0,5188,7171,142,5080,7159,134,108,12,8,0,1,0,0,3,0
