gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
7572-10295,partial,https://lpl.qq.com/es/stats.shtml?bmid=7572,LDL,2021,Spring,1,2021-05-11 11:06:43,3,11.06,100,Blue,team,,EDG Youth Team,,Sylas,Tahm Kench,Jayce,Akali,Twisted Fate,1467,0,4,17,12,4,17,,,,,0,,,,0.1636,0.8589,,1,2,,,,,,,1,,,,,,,0,1,0,2,8,,,,,30725,1256.6462,,3066.2577,,67,2.7403,22,0.8998,22,,,38652,22311,912.5153,,,,803,634,169,119,5,32.8425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7572-10295,partial,https://lpl.qq.com/es/stats.shtml?bmid=7572,LDL,2021,Spring,1,2021-05-11 11:06:43,3,11.06,200,Red,team,,FunPlus Phoenix Blaze,,Thresh,Zoe,Orianna,Galio,Rakan,1467,1,17,4,47,17,4,,,,,1,,,,0.6953,0.8589,,2,1,,,,,,,2,,,,,,,1,0,1,8,2,,,,,54015,2209.2025,,2654.2331,,74,3.0266,27,1.1043,35,,,48370,32029,1309.9796,,,,798,616,182,117,25,32.6380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT06/1730604,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1730604?gameHash=6950e00864b7c685,MSI,2021,,0,2021-05-11 12:09:31,1,11.09,1,Blue,top,Fudge,Cloud9,Lee Sin,Gnar,Varus,Renekton,Nocturne,Sett,2670,1,10,3,6,24,18,1,0,0,0,0,0,0,0,0.5393,0.9438,,,,,,,,,,,,,,,,,,,,,,,,0,0,20758,466.4719,0.185473,1073.6854,1263.4607,22,0.4944,11,0.2472,11,49,1.1011,18335,12613,283.4382,0.237974,16935,,337,297,40,12,8,7.5730,3426,4988,80,3515,4633,86,-89,355,-6,1,0,0,0,0,1,5298,7821,126,5600,7417,139,-302,404,-13,2,0,0,0,0,1
ESPORTSTMNT06/1730604,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1730604?gameHash=6950e00864b7c685,MSI,2021,,0,2021-05-11 12:09:31,1,11.09,2,Blue,jng,Blaber,Cloud9,Udyr,Gnar,Varus,Renekton,Nocturne,Sett,2670,1,2,3,13,24,18,0,0,0,0,0,0,0,0,0.5393,0.9438,,,,,,,,,,,,,,,,,,,,,,,,0,0,8304,186.6067,0.0741965,999.2360,1125.0337,12,0.2697,31,0.6966,12,87,1.9551,13596,7874,176.9438,0.148558,14290,,236,59,177,136,0,5.3034,3242,3618,71,3736,4231,80,-494,-613,-9,0,1,0,1,0,0,5139,6256,107,5755,6700,118,-616,-444,-11,1,2,0,2,0,1
ESPORTSTMNT06/1730604,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1730604?gameHash=6950e00864b7c685,MSI,2021,,0,2021-05-11 12:09:31,1,11.09,3,Blue,mid,Perkz,Cloud9,Viktor,Gnar,Varus,Renekton,Nocturne,Sett,2670,1,7,4,13,24,18,1,0,0,0,0,0,0,1,0.5393,0.9438,,,,,,,,,,,,,,,,,,,,,,,,0,0,44977,1010.7191,0.401871,500.9888,600.3820,15,0.3371,10,0.2247,3,34,0.7640,18737,13015,292.4719,0.245558,19275,,366,329,37,29,4,8.2247,3295,4709,88,3397,4628,83,-102,81,5,0,0,1,0,1,0,5664,8299,150,5474,7856,137,190,443,13,1,2,2,0,2,1
ESPORTSTMNT06/1730604,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1730604?gameHash=6950e00864b7c685,MSI,2021,,0,2021-05-11 12:09:31,1,11.09,4,Blue,bot,Zven,Cloud9,Tristana,Gnar,Varus,Renekton,Nocturne,Sett,2670,1,3,3,11,24,18,1,0,0,0,0,0,0,0,0.5393,0.9438,,,,,,,,,,,,,,,,,,,,,,,,3,1,29862,671.0562,0.266818,408.3146,611.7079,38,0.8539,20,0.4494,4,70,1.5730,20514,14792,332.4045,0.279087,20050,,447,414,33,33,0,10.0449,3097,3121,79,3166,3282,83,-69,-161,-4,0,0,0,0,0,0,5235,5430,135,4953,5557,137,282,-127,-2,1,0,0,0,0,0
ESPORTSTMNT06/1730604,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1730604?gameHash=6950e00864b7c685,MSI,2021,,0,2021-05-11 12:09:31,1,11.09,5,Blue,sup,Vulcan,Cloud9,Alistar,Gnar,Varus,Renekton,Nocturne,Sett,2670,1,2,5,14,24,18,0,0,0,0,0,0,0,0,0.5393,0.9438,,,,,,,,,,,,,,,,,,,,,,,,0,0,8018,180.1798,0.0716411,740.3146,931.9101,86,1.9326,8,0.1798,29,121,2.7191,10430,4708,105.7978,0.0888226,9875,,32,32,0,0,0,0.7191,2008,2352,15,2067,2428,13,-59,-76,2,0,0,0,0,0,0,3137,3673,20,2999,3328,21,138,345,-1,0,2,0,0,0,2
ESPORTSTMNT06/1730604,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1730604?gameHash=6950e00864b7c685,MSI,2021,,0,2021-05-11 12:09:31,1,11.09,6,Red,top,Khan,DWG KIA,Jayce,Thresh,Morgana,Senna,Leona,Kalista,2670,0,7,5,5,18,24,1,1,0,0,0,0,0,0,0.4045,0.9438,,,,,,,,,,,,,,,,,,,,,,,,0,0,46097,1035.8876,0.353396,541.4157,514.0449,23,0.5169,10,0.2247,8,80,1.7978,18817,13095,294.2697,0.252757,17600,,371,323,48,36,5,8.3371,3515,4633,86,3426,4988,80,89,-355,6,0,0,1,1,0,0,5600,7417,139,5298,7821,126,302,-404,13,0,0,1,2,0,0
ESPORTSTMNT06/1730604,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1730604?gameHash=6950e00864b7c685,MSI,2021,,0,2021-05-11 12:09:31,1,11.09,7,Red,jng,Canyon,DWG KIA,Rumble,Thresh,Morgana,Senna,Leona,Kalista,2670,0,4,5,8,18,24,0,0,0,0,1,1,0,0,0.4045,0.9438,,,,,,,,,,,,,,,,,,,,,,,,0,0,25074,563.4607,0.192226,866.8090,767.4831,14,0.3146,8,0.1798,13,46,1.0337,15308,9586,215.4157,0.185025,14925,,284,39,245,158,18,6.3820,3736,4231,80,3242,3618,71,494,613,9,1,0,0,0,1,0,5755,6700,118,5139,6256,107,616,444,11,2,0,1,1,2,0
ESPORTSTMNT06/1730604,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1730604?gameHash=6950e00864b7c685,MSI,2021,,0,2021-05-11 12:09:31,1,11.09,8,Red,mid,ShowMaker,DWG KIA,Sylas,Thresh,Morgana,Senna,Leona,Kalista,2670,0,3,6,9,18,24,0,0,0,0,1,0,1,0,0.4045,0.9438,,,,,,,,,,,,,,,,,,,,,,,,0,0,25479,572.5618,0.195331,925.0337,919.3483,14,0.3146,4,0.0899,13,37,0.8315,16949,11227,252.2921,0.2167,17225,,343,291,52,27,12,7.7079,3397,4628,83,3295,4709,88,102,-81,-5,0,1,0,0,0,1,5474,7856,137,5664,8299,150,-190,-443,-13,0,2,1,1,2,2
