gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
7573-10298,complete,https://lpl.qq.com/es/stats.shtml?bmid=7573,LDL,2021,Spring,1,2021-05-12 07:43:00,3,11.06,100,Blue,team,,Shu Dai Xiong Gaming,,Thresh,Sylas,Renekton,Zoe,Twisted Fate,2344,0,12,19,26,12,19,2,0,0,0,0,,,,0.3072,0.7935,0,2,4,2,4,1,0,1,0,,0,0,1,1,1,0,0,2,1,5,10,1,0,1,1,59746,1529.3345,,3436.6638,3054.3174,163,4.1724,107,2.7389,52,326,8.3447,66066,40779,1043.8311,,64300,-0.0214624,,,298,216,23,,15158,19315,338,15419,17861,353,-261,1454,-15,1,1,1,1,3,1,24436,30440,552,24812,30218,582,-376,222,-30,1,1,2,2,5,1
7573-10298,complete,https://lpl.qq.com/es/stats.shtml?bmid=7573,LDL,2021,Spring,1,2021-05-12 07:43:00,3,11.06,200,Red,team,,EDG Youth Team,,Tahm Kench,Hecarim,Udyr,Camille,Azir,2344,1,19,12,54,19,12,1,1,0,0,1,,,,0.4863,0.7935,1,4,2,4,2,0,1,3,0,,0,0,0,1,1,1,2,0,0,10,5,0,1,1,1,106933,2737.1928,,2368.4898,2557.6280,179,4.5819,105,2.6877,41,388,9.9317,73225,47938,1227.0819,,65695,0.0214624,,,284,183,19,,15419,17861,353,15158,19315,338,261,-1454,15,1,3,1,1,1,1,24812,30218,582,24436,30440,552,376,-222,30,2,5,1,1,1,2
7573-10299,complete,https://lpl.qq.com/es/stats.shtml?bmid=7573,LDL,2021,Spring,1,2021-05-12 08:43:00,4,11.06,1,Blue,top,Xiaoxiang,EDG Youth Team,Gnar,Tahm Kench,Renekton,Olaf,Camille,Syndra,1695,1,3,1,12,23,12,0,0,0,0,0,0,0,0,0.8142,1.2389,,,,,,,,,,,,,,,,,,,,,,,,,,19572,692.8142,0.288031,682.7257,801.3805,9,0.3186,13,0.4602,4,33,1.1681,11557,7824,276.9558,0.209159,10600,,244,233,11,1,0,8.6372,3246,4898,89,3289,4886,85,-43,12,4,0,0,0,0,0,0,5776,7839,136,5459,7402,130,317,437,6,1,2,0,1,0,1
7573-10299,complete,https://lpl.qq.com/es/stats.shtml?bmid=7573,LDL,2021,Spring,1,2021-05-12 08:43:00,4,11.06,2,Blue,jng,JunJia,EDG Youth Team,Udyr,Tahm Kench,Renekton,Olaf,Camille,Syndra,1695,1,3,3,15,23,12,0,0,0,0,1,0,1,0,0.8142,1.2389,,,,,,,,,,,,,,,,,,,,,,,,,,8328,294.7965,0.122559,865.4159,678.5487,13,0.4602,10,0.3540,11,42,1.4867,10059,6326,223.9292,0.169111,8375,,153,18,135,87,17,5.4159,3742,3922,72,3021,2980,56,721,942,16,1,3,0,1,0,1,5487,5976,96,4791,5111,83,696,865,13,1,6,1,2,0,1
7573-10299,complete,https://lpl.qq.com/es/stats.shtml?bmid=7573,LDL,2021,Spring,1,2021-05-12 08:43:00,4,11.06,3,Blue,mid,0909,EDG Youth Team,Orianna,Tahm Kench,Renekton,Olaf,Camille,Syndra,1695,1,10,3,9,23,12,3,1,1,0,0,0,0,0,0.8142,1.2389,,,,,,,,,,,,,,,,,,,,,,,,,,20789,735.8938,0.305941,395.6814,268.6372,13,0.4602,11,0.3894,4,37,1.3097,13287,9554,338.1947,0.25541,11250,,239,215,24,20,0,8.4602,3742,5404,95,3192,4683,84,550,721,11,1,1,0,0,0,1,5906,8187,150,5105,7732,143,801,455,7,2,2,1,0,1,1
7573-10299,complete,https://lpl.qq.com/es/stats.shtml?bmid=7573,LDL,2021,Spring,1,2021-05-12 08:43:00,4,11.06,4,Blue,bot,Hope,EDG Youth Team,Tristana,Tahm Kench,Renekton,Olaf,Camille,Syndra,1695,1,6,2,13,23,12,1,0,0,0,1,1,0,0,0.8142,1.2389,,,,,,,,,,,,,,,,,,,,,,,,,,13234,468.4602,0.194758,402.4071,190.8673,31,1.0973,19,0.6726,4,64,2.2655,13605,9872,349.4513,0.263911,12000,,284,252,32,21,0,10.0531,4369,3686,86,3389,3069,82,980,617,4,3,1,0,0,1,1,7107,6036,142,5350,5358,139,1757,678,3,4,2,0,0,1,2
7573-10299,complete,https://lpl.qq.com/es/stats.shtml?bmid=7573,LDL,2021,Spring,1,2021-05-12 08:43:00,4,11.06,5,Blue,sup,Xiamu,EDG Youth Team,Rell,Tahm Kench,Renekton,Olaf,Camille,Syndra,1695,1,1,3,20,23,12,0,0,0,0,1,0,1,0,0.8142,1.2389,,,,,,,,,,,,,,,,,,,,,,,,,,6028,213.3805,0.088711,373.3451,565.1327,49,1.7345,7,0.2478,14,73,2.5841,7564,3831,135.6106,0.102409,6250,,34,34,0,0,0,1.2035,2393,1996,15,2125,2307,15,268,-311,0,0,4,1,0,0,2,3710,3277,26,3286,3784,23,424,-507,3,0,6,1,0,0,3
7573-10299,complete,https://lpl.qq.com/es/stats.shtml?bmid=7573,LDL,2021,Spring,1,2021-05-12 08:43:00,4,11.06,6,Red,top,zaza,Shu Dai Xiong Gaming,Aatrox,Thresh,Hecarim,Zoe,Sylas,Jayce,1695,0,4,3,5,12,23,0,0,0,0,0,0,0,0,0.4248,1.2389,,,,,,,,,,,,,,,,,,,,,,,,,,15302,541.6637,0.295565,939.4336,749.2743,12,0.4248,8,0.2832,4,31,1.0973,11031,7298,258.3363,0.247016,10800,,222,193,29,19,4,7.8584,3289,4886,85,3246,4898,89,43,-12,-4,0,0,0,0,0,0,5459,7402,130,5776,7839,136,-317,-437,-6,1,0,1,1,2,0
7573-10299,complete,https://lpl.qq.com/es/stats.shtml?bmid=7573,LDL,2021,Spring,1,2021-05-12 08:43:00,4,11.06,7,Red,jng,Beige,Shu Dai Xiong Gaming,Volibear,Thresh,Hecarim,Zoe,Sylas,Jayce,1695,0,5,4,4,12,23,1,0,0,0,0,0,0,1,0.4248,1.2389,,,,,,,,,,,,,,,,,,,,,,,,,,9294,328.9912,0.179518,870.1239,843.0796,13,0.4602,17,0.6018,13,38,1.3451,8610,4877,172.6372,0.165068,8475,,118,25,93,72,5,4.1770,3021,2980,56,3742,3922,72,-721,-942,-16,1,0,1,1,3,0,4791,5111,83,5487,5976,96,-696,-865,-13,2,0,1,1,6,1
7573-10299,complete,https://lpl.qq.com/es/stats.shtml?bmid=7573,LDL,2021,Spring,1,2021-05-12 08:43:00,4,11.06,8,Red,mid,Harder,Shu Dai Xiong Gaming,Azir,Thresh,Hecarim,Zoe,Sylas,Jayce,1695,0,1,5,6,12,23,0,0,0,0,0,0,0,0,0.4248,1.2389,,,,,,,,,,,,,,,,,,,,,,,,,,12210,432.2124,0.235842,443.5398,206.1947,16,0.5664,7,0.2478,8,34,1.2035,10691,6958,246.3009,0.235508,10810,,251,232,19,14,0,8.8850,3192,4683,84,3742,5404,95,-550,-721,-11,0,0,1,1,1,0,5105,7732,143,5906,8187,150,-801,-455,-7,0,1,1,2,2,1
7573-10299,complete,https://lpl.qq.com/es/stats.shtml?bmid=7573,LDL,2021,Spring,1,2021-05-12 08:43:00,4,11.06,9,Red,bot,Kepler,Shu Dai Xiong Gaming,Kai'Sa,Thresh,Hecarim,Zoe,Sylas,Jayce,1695,0,2,5,5,12,23,0,0,0,0,0,0,0,0,0.4248,1.2389,,,,,,,,,,,,,,,,,,,,,,,,,,9859,348.9912,0.190431,494.3009,266.4425,26,0.9204,17,0.6018,2,55,1.9469,11406,7673,271.6106,0.25971,10800,,266,229,37,27,3,9.4159,3389,3069,82,4369,3686,86,-980,-617,-4,0,1,1,3,1,0,5350,5358,139,7107,6036,142,-1757,-678,-3,0,1,2,4,2,0
7573-10299,complete,https://lpl.qq.com/es/stats.shtml?bmid=7573,LDL,2021,Spring,1,2021-05-12 08:43:00,4,11.06,10,Red,sup,skIIn,Shu Dai Xiong Gaming,Alistar,Thresh,Hecarim,Zoe,Sylas,Jayce,1695,0,0,6,9,12,23,0,0,0,0,0,0,0,0,0.4248,1.2389,,,,,,,,,,,,,,,,,,,,,,,,,,5107,180.7788,0.0986441,538.4071,663.1150,41,1.4513,7,0.2478,15,61,2.1593,6472,2739,96.9558,0.0926988,6425,,37,35,2,2,0,1.3097,2125,2307,15,2393,1996,15,-268,311,0,0,0,2,0,4,1,3286,3784,23,3710,3277,26,-424,507,-3,0,0,3,0,6,1
7573-10299,complete,https://lpl.qq.com/es/stats.shtml?bmid=7573,LDL,2021,Spring,1,2021-05-12 08:43:00,4,11.06,100,Blue,team,,EDG Youth Team,,Tahm Kench,Renekton,Olaf,Camille,Syndra,1695,1,23,12,69,23,12,4,1,1,0,1,,,,0.8142,1.2389,0,3,1,3,1,0,0,1,2,,0,0,1,2,0,,0,0,1,8,3,1,1,1,0,67951,2405.3451,,2719.5752,2504.5664,115,4.0708,60,2.1239,37,249,8.8142,56072,37405,1324.0708,,48475,0.0243253,,,202,129,17,,17492,19906,357,15016,17925,322,2476,1981,35,5,9,1,1,1,5,27986,31315,550,23991,29387,518,3995,1928,32,8,18,3,3,2,8
7573-10299,complete,https://lpl.qq.com/es/stats.shtml?bmid=7573,LDL,2021,Spring,1,2021-05-12 08:43:00,4,11.06,200,Red,team,,Shu Dai Xiong Gaming,,Thresh,Hecarim,Zoe,Sylas,Jayce,1695,0,12,23,29,12,23,1,0,0,0,0,,,,0.4248,1.2389,1,1,3,1,3,1,0,0,0,,0,0,0,0,2,,0,0,0,3,8,0,0,0,1,51772,1832.6372,,3285.8053,2728.1062,108,3.8230,56,1.9823,42,219,7.7522,48210,29543,1045.7699,,47310,-0.0243253,,,180,134,12,,15016,17925,322,17492,19906,357,-2476,-1981,-35,1,1,5,5,9,1,23991,29387,518,27986,31315,550,-3995,-1928,-32,3,2,8,8,18,3
7573-10300,complete,https://lpl.qq.com/es/stats.shtml?bmid=7573,LDL,2021,Spring,1,2021-05-12 09:31:00,5,11.06,1,Blue,top,Xiaoxiang,EDG Youth Team,Gnar,Tahm Kench,Renekton,Olaf,Camille,Syndra,2275,0,0,4,7,11,17,0,0,0,0,0,0,0,0,0.2901,0.7385,,,,,,,,,,,,,,,,,,,,,,,,,,20648,544.5626,0.228473,803.3407,750.0396,10,0.2637,19,0.5011,5,51,1.3451,11993,7076,186.6198,0.184497,12275,,279,271,8,2,4,7.3582,3410,4800,86,3264,4862,79,146,-62,7,0,1,0,0,1,0,5486,7581,137,5258,7946,136,228,-365,1,0,4,0,0,1,0
7573-10300,complete,https://lpl.qq.com/es/stats.shtml?bmid=7573,LDL,2021,Spring,1,2021-05-12 09:31:00,5,11.06,2,Blue,jng,JunJia,EDG Youth Team,Udyr,Tahm Kench,Renekton,Olaf,Camille,Syndra,2275,0,4,2,5,11,17,0,0,0,0,0,0,0,0,0.2901,0.7385,,,,,,,,,,,,,,,,,,,,,,,,,,11332,298.8659,0.12539,937.7670,1146.4352,19,0.5011,25,0.6593,20,75,1.9780,12589,7672,202.3385,0.200036,13180,,233,39,194,123,26,6.1451,3659,4013,78,3362,3256,68,297,757,10,1,0,0,1,0,0,6196,6823,124,4607,4637,92,1589,2186,32,3,2,0,1,1,1
7573-10300,complete,https://lpl.qq.com/es/stats.shtml?bmid=7573,LDL,2021,Spring,1,2021-05-12 09:31:00,5,11.06,3,Blue,mid,0909,EDG Youth Team,Orianna,Tahm Kench,Renekton,Olaf,Camille,Syndra,2275,0,1,5,9,11,17,0,0,0,0,0,0,0,1,0.2901,0.7385,,,,,,,,,,,,,,,,,,,,,,,,,,27268,719.1560,0.301724,375.2967,332.2022,15,0.3956,4,0.1055,4,17,0.4484,13226,8309,219.1385,0.216645,12650,,302,261,41,37,0,7.9648,3392,4526,90,3261,4763,84,131,-237,6,0,1,1,0,1,0,5898,7596,152,5103,7732,137,795,-136,15,1,4,2,0,1,1
7573-10300,complete,https://lpl.qq.com/es/stats.shtml?bmid=7573,LDL,2021,Spring,1,2021-05-12 09:31:00,5,11.06,4,Blue,bot,Hope,EDG Youth Team,Tristana,Tahm Kench,Renekton,Olaf,Camille,Syndra,2275,0,5,2,4,11,17,1,0,0,0,0,0,0,0,0.2901,0.7385,,,,,,,,,,,,,,,,,,,,,,,,,,25514,672.8967,0.282316,406.1011,225.2308,45,1.1868,31,0.8176,6,88,2.3209,16835,11918,314.3209,0.310739,16850,,384,350,34,26,4,10.1275,3376,3234,83,3310,3363,84,66,-129,-1,1,0,0,0,0,1,5719,6045,144,5522,5515,147,197,530,-3,2,3,0,1,0,2
7573-10300,complete,https://lpl.qq.com/es/stats.shtml?bmid=7573,LDL,2021,Spring,1,2021-05-12 09:31:00,5,11.06,5,Blue,sup,Xiamu,EDG Youth Team,Rell,Tahm Kench,Renekton,Olaf,Camille,Syndra,2275,0,1,4,9,11,17,0,0,0,0,0,0,0,0,0.2901,0.7385,,,,,,,,,,,,,,,,,,,,,,,,,,5612,148.0088,0.0620975,342.0396,528.9231,76,2.0044,15,0.3956,24,111,2.9275,8295,3378,89.0901,0.0880824,8100,,39,39,0,0,0,1.0286,2170,2431,16,2167,2428,14,3,3,2,0,1,0,0,0,1,3449,4490,29,3489,4300,25,-40,190,4,0,5,0,0,1,2
7573-10300,complete,https://lpl.qq.com/es/stats.shtml?bmid=7573,LDL,2021,Spring,1,2021-05-12 09:31:00,5,11.06,6,Red,top,zaza,Shu Dai Xiong Gaming,Aatrox,Thresh,Hecarim,Zoe,Sylas,Jayce,2275,1,2,0,9,17,11,0,0,0,0,1,0,1,0,0.4484,0.7385,,,,,,,,,,,,,,,,,,,,,,,,,,19768,521.3538,0.242029,1260.6066,1294.1011,8,0.2110,14,0.3692,3,43,1.1341,14705,9788,258.1451,0.213222,13825,,324,289,35,12,9,8.5451,3264,4862,79,3410,4800,86,-146,62,-7,0,1,0,0,1,0,5258,7946,136,5486,7581,137,-228,365,-1,0,1,0,0,4,0
7573-10300,complete,https://lpl.qq.com/es/stats.shtml?bmid=7573,LDL,2021,Spring,1,2021-05-12 09:31:00,5,11.06,7,Red,jng,Beige,Shu Dai Xiong Gaming,Volibear,Thresh,Hecarim,Zoe,Sylas,Jayce,2275,1,2,2,12,17,11,0,0,0,0,1,1,0,0,0.4484,0.7385,,,,,,,,,,,,,,,,,,,,,,,,,,6810,179.6044,0.0833782,749.4593,931.9912,20,0.5275,19,0.5011,19,61,1.6088,11666,6749,177.9956,0.147023,10225,,176,32,144,91,4,4.6418,3362,3256,68,3659,4013,78,-297,-757,-10,1,0,0,1,0,0,4607,4637,92,6196,6823,124,-1589,-2186,-32,1,1,1,3,2,0
7573-10300,complete,https://lpl.qq.com/es/stats.shtml?bmid=7573,LDL,2021,Spring,1,2021-05-12 09:31:00,5,11.06,8,Red,mid,Harder,Shu Dai Xiong Gaming,Azir,Thresh,Hecarim,Zoe,Sylas,Jayce,2275,1,4,3,9,17,11,0,0,0,0,1,0,1,0,0.4484,0.7385,,,,,,,,,,,,,,,,,,,,,,,,,,23791,627.4549,0.291285,398.3209,259.7275,17,0.4484,16,0.4220,5,61,1.6088,16246,11329,298.7868,0.24679,15425,,351,315,36,24,8,9.2571,3261,4763,84,3392,4526,90,-131,237,-6,0,1,0,0,1,1,5103,7732,137,5898,7596,152,-795,136,-15,0,1,1,1,4,2
7573-10300,complete,https://lpl.qq.com/es/stats.shtml?bmid=7573,LDL,2021,Spring,1,2021-05-12 09:31:00,5,11.06,9,Red,bot,Kepler,Shu Dai Xiong Gaming,Kai'Sa,Thresh,Hecarim,Zoe,Sylas,Jayce,2275,1,7,3,5,17,11,0,0,0,0,0,0,0,0,0.4484,0.7385,,,,,,,,,,,,,,,,,,,,,,,,,,24191,638.0044,0.296182,549.9956,327.5868,44,1.1604,35,0.9231,4,120,3.1648,18366,13449,354.6989,0.292971,15180,,403,338,65,39,10,10.6286,3310,3363,84,3376,3234,83,-66,129,1,0,0,1,1,0,0,5522,5515,147,5719,6045,144,-197,-530,3,1,0,2,2,3,0
7573-10300,complete,https://lpl.qq.com/es/stats.shtml?bmid=7573,LDL,2021,Spring,1,2021-05-12 09:31:00,5,11.06,10,Red,sup,skIIn,Shu Dai Xiong Gaming,Alistar,Thresh,Hecarim,Zoe,Sylas,Jayce,2275,1,2,3,13,17,11,0,0,0,0,0,0,0,0,0.4484,0.7385,,,,,,,,,,,,,,,,,,,,,,,,,,7116,187.6747,0.0871247,560.2813,903.4813,69,1.8198,11,0.2901,17,83,2.1890,9507,4590,121.0549,0.0999935,8475,,43,43,0,0,0,1.1341,2167,2428,14,2170,2431,16,-3,-3,-2,0,0,1,0,1,0,3489,4300,25,3449,4490,29,40,-190,-4,0,1,2,0,5,0
7573-10300,complete,https://lpl.qq.com/es/stats.shtml?bmid=7573,LDL,2021,Spring,1,2021-05-12 09:31:00,5,11.06,100,Blue,team,,EDG Youth Team,,Tahm Kench,Renekton,Olaf,Camille,Syndra,2275,0,11,17,34,11,17,1,0,0,0,0,,,,0.2901,0.7385,0,3,3,3,3,1,0,2,0,,0,0,1,2,0,0,0,1,0,4,9,1,1,0,1,90374,2383.4901,,2864.5451,2982.8308,165,4.3516,94,2.4791,59,342,9.0198,62938,38355,1011.5604,,63055,-0.00118873,,,277,188,34,,16007,19004,353,15364,18672,329,643,332,24,2,3,1,1,2,2,26748,32535,586,23979,30130,537,2769,2405,49,6,18,2,2,4,6
7573-10300,complete,https://lpl.qq.com/es/stats.shtml?bmid=7573,LDL,2021,Spring,1,2021-05-12 09:31:00,5,11.06,200,Red,team,,Shu Dai Xiong Gaming,,Thresh,Hecarim,Zoe,Sylas,Jayce,2275,1,17,11,48,17,11,0,0,0,0,1,,,,0.4484,0.7385,1,3,3,3,3,0,1,2,0,,0,0,0,0,2,1,1,0,1,9,4,0,0,1,0,81676,2154.0923,,3518.6637,3716.8879,158,4.1670,95,2.5055,48,368,9.7055,70490,45907,1210.7341,,63130,0.00118873,,,280,166,31,,15364,18672,329,16007,19004,353,-643,-332,-24,1,2,2,2,3,1,23979,30130,537,26748,32535,586,-2769,-2405,-49,2,4,6,6,18,2
7574-10301,complete,https://lpl.qq.com/es/stats.shtml?bmid=7574,LDL,2021,Spring,1,2021-05-12 11:01:00,1,11.06,1,Blue,top,Qingtian,Young Miracles,Renekton,Hecarim,Tristana,Tahm Kench,Aphelios,Gnar,1781,1,7,2,5,19,6,2,0,0,0,0,0,0,0,0.6401,0.8422,,,,,,,,,,,,,,,,,,,,,,,,,,22348,752.8804,0.354522,1022.6951,917.5519,8,0.2695,3,0.1011,3,23,0.7748,12911,9002,303.2678,0.236776,11525,,239,225,14,4,1,8.0517,3544,4700,80,3667,5320,82,-123,-620,-2,1,0,1,1,0,1,5639,7283,129,5316,7581,128,323,-298,1,1,1,1,1,0,2
7574-10301,complete,https://lpl.qq.com/es/stats.shtml?bmid=7574,LDL,2021,Spring,1,2021-05-12 11:01:00,1,11.06,2,Blue,jng,Heng,Young Miracles,Udyr,Hecarim,Tristana,Tahm Kench,Aphelios,Gnar,1781,1,5,0,8,19,6,0,0,0,0,0,0,0,0,0.6401,0.8422,,,,,,,,,,,,,,,,,,,,,,,,,,8447,284.5705,0.134001,766.3897,903.9416,12,0.4043,8,0.2695,11,42,1.4149,10670,6761,227.7709,0.177833,9235,,151,13,138,74,13,5.0870,3961,3724,67,3446,3661,72,515,63,-5,2,2,0,1,0,2,5691,6849,101,4906,5503,100,785,1346,1,3,2,0,1,0,3
7574-10301,complete,https://lpl.qq.com/es/stats.shtml?bmid=7574,LDL,2021,Spring,1,2021-05-12 11:01:00,1,11.06,3,Blue,mid,xiaocaobao,Young Miracles,Ryze,Hecarim,Tristana,Tahm Kench,Aphelios,Gnar,1781,1,6,1,6,19,6,0,0,0,0,1,0,1,0,0.6401,0.8422,,,,,,,,,,,,,,,,,,,,,,,,,,15611,525.9180,0.247648,554.0146,302.3919,15,0.5053,5,0.1684,8,30,1.0107,14284,10375,349.5227,0.272888,13250,,297,257,40,33,4,10.0056,4003,4860,89,3084,4557,72,919,303,17,1,3,0,0,1,2,6707,8827,168,5237,7348,132,1470,1479,36,2,3,0,0,1,2
7574-10301,complete,https://lpl.qq.com/es/stats.shtml?bmid=7574,LDL,2021,Spring,1,2021-05-12 11:01:00,1,11.06,4,Blue,bot,Xing,Young Miracles,Kalista,Hecarim,Tristana,Tahm Kench,Aphelios,Gnar,1781,1,0,0,9,19,6,0,0,0,0,0,0,0,0,0.6401,0.8422,,,,,,,,,,,,,,,,,,,,,,,,,,12672,426.9062,0.201025,368.4222,389.7473,32,1.0780,12,0.4043,10,67,2.2572,12532,8623,290.4997,0.226807,11400,,303,271,32,29,2,10.2077,3451,3283,92,3168,3152,81,283,131,11,0,2,0,0,0,0,5359,5684,150,5720,5547,147,-361,137,3,0,2,0,0,0,0
7574-10301,complete,https://lpl.qq.com/es/stats.shtml?bmid=7574,LDL,2021,Spring,1,2021-05-12 11:01:00,1,11.06,5,Blue,sup,Ke,Young Miracles,Nautilus,Hecarim,Tristana,Tahm Kench,Aphelios,Gnar,1781,1,1,3,8,19,6,0,0,0,0,1,1,0,0,0.6401,0.8422,,,,,,,,,,,,,,,,,,,,,,,,,,3959,133.3745,0.0628044,287.0971,608.0517,43,1.4486,4,0.1348,12,63,2.1224,7167,3258,109.7586,0.0856964,6700,,28,28,0,0,0,0.9433,2508,2310,13,2023,2242,15,485,68,-2,1,2,1,0,0,0,3561,3447,22,3386,3971,28,175,-524,-6,1,2,1,0,0,0
7574-10301,complete,https://lpl.qq.com/es/stats.shtml?bmid=7574,LDL,2021,Spring,1,2021-05-12 11:01:00,1,11.06,6,Red,top,xiaolaohu,FunPlus Phoenix Blaze,Aatrox,Orianna,Viktor,Kai'Sa,Samira,Lee Sin,1781,0,1,5,2,6,19,0,0,0,0,0,0,0,0,0.2021,0.8422,,,,,,,,,,,,,,,,,,,,,,,,,,18784,632.8130,0.295105,867.5912,792.3638,9,0.3032,6,0.2021,5,29,0.9770,9634,5725,192.8692,0.20996,9625,,227,213,14,14,0,7.6474,3667,5320,82,3544,4700,80,123,620,2,1,0,1,1,0,1,5316,7581,128,5639,7283,129,-323,298,-1,1,0,2,1,1,1
7574-10301,complete,https://lpl.qq.com/es/stats.shtml?bmid=7574,LDL,2021,Spring,1,2021-05-12 11:01:00,1,11.06,7,Red,jng,Youxin,FunPlus Phoenix Blaze,Olaf,Orianna,Viktor,Kai'Sa,Samira,Lee Sin,1781,0,1,6,3,6,19,0,0,0,0,0,0,0,0,0.2021,0.8422,,,,,,,,,,,,,,,,,,,,,,,,,,9544,321.5272,0.14994,943.4924,639.2139,8,0.2695,11,0.3706,9,36,1.2128,8587,4678,157.5969,0.171564,8475,,174,28,146,96,7,5.8619,3446,3661,72,3961,3724,67,-515,-63,5,1,0,2,2,2,0,4906,5503,100,5691,6849,101,-785,-1346,-1,1,0,3,3,2,0
7574-10301,complete,https://lpl.qq.com/es/stats.shtml?bmid=7574,LDL,2021,Spring,1,2021-05-12 11:01:00,1,11.06,8,Red,mid,Care,FunPlus Phoenix Blaze,Sylas,Orianna,Viktor,Kai'Sa,Samira,Lee Sin,1781,0,3,4,2,6,19,0,0,0,0,0,0,0,1,0.2021,0.8422,,,,,,,,,,,,,,,,,,,,,,,,,,14512,488.8939,0.22799,688.8040,450.8591,11,0.3706,13,0.4380,5,40,1.3476,10973,7064,237.9787,0.259066,9875,,232,220,12,9,0,7.8158,3084,4557,72,4003,4860,89,-919,-303,-17,0,1,2,1,3,0,5237,7348,132,6707,8827,168,-1470,-1479,-36,0,1,2,2,3,0
7574-10301,complete,https://lpl.qq.com/es/stats.shtml?bmid=7574,LDL,2021,Spring,1,2021-05-12 11:01:00,1,11.06,9,Red,bot,River,FunPlus Phoenix Blaze,Varus,Orianna,Viktor,Kai'Sa,Samira,Lee Sin,1781,0,1,2,2,6,19,0,0,0,0,0,0,0,0,0.2021,0.8422,,,,,,,,,,,,,,,,,,,,,,,,,,18237,614.3852,0.286511,280.6625,161.0668,12,0.4043,8,0.2695,5,27,0.9096,11619,7710,259.7417,0.282757,11775,,272,248,24,24,0,9.1634,3168,3152,81,3451,3283,92,-283,-131,-11,0,0,0,0,2,0,5720,5547,147,5359,5684,150,361,-137,-3,0,0,0,0,2,0
7574-10301,complete,https://lpl.qq.com/es/stats.shtml?bmid=7574,LDL,2021,Spring,1,2021-05-12 11:01:00,1,11.06,10,Red,sup,Shenyi,FunPlus Phoenix Blaze,Thresh,Orianna,Viktor,Kai'Sa,Samira,Lee Sin,1781,0,0,2,2,6,19,0,0,0,0,0,0,0,0,0.2021,0.8422,,,,,,,,,,,,,,,,,,,,,,,,,,2575,86.7490,0.0404543,289.2532,346.6255,38,1.2802,11,0.3706,9,62,2.0887,5999,2090,70.4099,0.076653,5825,,39,39,0,0,0,1.3139,2023,2242,15,2508,2310,13,-485,-68,2,0,0,0,1,2,1,3386,3971,28,3561,3447,22,-175,524,6,0,0,0,1,2,1
7574-10301,complete,https://lpl.qq.com/es/stats.shtml?bmid=7574,LDL,2021,Spring,1,2021-05-12 11:01:00,1,11.06,100,Blue,team,,Young Miracles,,Hecarim,Tristana,Tahm Kench,Aphelios,Gnar,1781,1,19,6,36,19,6,2,0,0,0,1,,,,0.6401,0.8422,1,3,1,3,1,0,1,1,1,,0,0,0,1,1,1,1,0,0,9,2,0,1,1,0,63037,2123.6496,,2998.6188,3121.6844,110,3.7058,32,1.0780,44,225,7.5800,57564,38020,1280.8535,,52110,0.133797,,,224,140,20,,17467,18877,341,15388,18932,322,2079,-55,19,5,9,2,2,1,5,26957,32090,570,24565,29950,535,2392,2140,35,7,10,2,2,1,7
7574-10301,complete,https://lpl.qq.com/es/stats.shtml?bmid=7574,LDL,2021,Spring,1,2021-05-12 11:01:00,1,11.06,200,Red,team,,FunPlus Phoenix Blaze,,Orianna,Viktor,Kai'Sa,Samira,Lee Sin,1781,0,6,19,11,6,19,0,0,0,0,0,,,,0.2021,0.8422,0,1,3,1,3,0,0,0,1,,0,0,1,1,1,0,0,1,1,2,9,1,0,0,1,63652,2144.3683,,3069.8035,2390.1291,78,2.6277,49,1.6508,33,194,6.5357,46812,27268,918.6300,,45575,-0.133797,,,196,143,7,,15388,18932,322,17467,18877,341,-2079,55,-19,2,1,5,5,9,2,24565,29950,535,26957,32090,570,-2392,-2140,-35,2,1,7,7,10,2
