game,bluetopgp,bluetopwr,bluetopkda,bluejunglegp,bluejunglewr,bluejunglekda,bluemidgp,bluemidwr,bluemidkda,blueadcgp,blueadcwr,blueadckda,bluesupportgp,bluesupportwr,bluesupportkda,redtopgp,redtopwr,redtopkda,redjunglegp,redjunglewr,redjunglekda,redmidgp,redmidwr,redmidkda,redadcgp,redadcwr,redadckda,redsupportgp,redsupportwr,redsupportkda,result
ESPORTSTMNT02/1698346,9,0.22,2.1,7,0.29,2.1,7,0.71,8.9,0,0.0,0.0,5,0.4,4.3,15,0.6,3.1,14,0.29,2.5,19,0.16,1.5,25,0.28,3.3,7,0.29,1.7,0
ESPORTSTMNT03/1764165,10,0.3,2.1,11,0.27,2.7,20,0.45,4.5,11,0.36,3.0,10,0.1,1.6,6,0.67,4.0,2,0.5,1.3,44,0.5,2.8,12,0.42,3.5,37,0.46,2.2,1
ESPORTSTMNT02/1688866,22,0.59,3.0,18,0.61,4.1,24,0.54,4.2,5,0.4,4.5,4,0.25,1.7,7,1.0,4.6,5,0.8,7.6,1,1.0,10.0,6,0.5,3.7,9,0.56,2.6,1
ESPORTSTMNT06/1580836,26,0.65,5.6,5,0.6,3.0,7,0.86,4.5,6,0.67,6.0,7,0.43,3.1,3,0.33,2.1,5,0.8,2.7,3,0.67,15.5,4,0.75,12.0,15,0.67,4.6,0
ESPORTSTMNT06/1580845,0,0.0,0.0,6,0.5,3.0,5,0.8,6.5,4,0.5,4.9,6,0.67,2.8,4,0.75,3.1,8,0.5,3.4,5,0.4,2.9,9,0.44,2.9,18,0.39,2.8,0
ESPORTSTMNT06/1580852,2,1.0,4.8,5,0.6,6.6,1,1.0,13.0,3,0.67,5.6,5,0.6,4.8,4,0.25,1.9,4,0.25,2.1,3,0.33,2.9,2,0.5,2.7,12,0.33,1.6,0
ESPORTSTMNT03/1754407,7,0.43,2.4,30,0.77,4.6,20,0.65,5.9,14,0.36,2.5,10,0.4,2.5,13,0.69,3.6,30,0.57,4.3,30,0.73,3.7,49,0.45,8.0,23,0.35,1.5,1
ESPORTSTMNT03/1754443,14,0.29,2.0,2,0.5,2.0,12,0.5,4.3,1,0.0,1.0,4,0.25,1.3,52,0.52,3.5,15,0.53,4.5,16,0.5,4.3,21,0.57,3.2,27,0.59,3.7,1
ESPORTSTMNT03/1754457,19,0.79,4.1,8,0.63,6.2,2,0.5,6.8,18,0.67,5.6,3,0.33,1.7,1,0.0,0.7,8,0.5,2.1,21,0.57,3.5,36,0.53,7.8,44,0.48,2.8,0
ESPORTSTMNT03/1764421,7,0.43,2.0,8,0.88,9.1,30,0.63,4.3,1,1.0,3.5,24,0.75,3.9,8,0.38,3.4,15,0.6,3.3,0,0.0,0.0,19,0.58,4.1,17,0.65,3.3,0
ESPORTSTMNT03/1764428,9,0.44,2.1,2,0.0,0.9,5,0.4,3.8,4,0.5,5.0,4,0.75,5.6,5,0.6,3.2,8,1.0,8.5,7,0.43,2.7,13,0.69,5.5,7,1.0,6.6,1
ESPORTSTMNT03/1754530,17,0.53,3.5,9,0.44,3.9,7,0.57,4.8,34,0.44,3.3,8,0.25,2.7,7,0.86,4.3,9,0.78,3.5,45,0.58,3.4,38,0.66,5.2,16,0.88,5.0,1
ESPORTSTMNT03/1754572,5,0.8,5.4,16,0.56,3.3,28,0.61,3.5,2,0.5,9.0,69,0.54,3.1,19,0.63,5.3,10,0.2,2.3,19,0.47,4.4,10,0.3,2.8,5,0.4,2.1,0
ESPORTSTMNT03/1764522,2,0.0,0.8,4,0.25,4.0,1,0.0,2.3,2,0.5,15.0,2,0.0,1.7,5,0.4,1.5,3,0.33,1.2,0,0.0,0.0,5,0.4,9.4,6,0.33,2.7,1
ESPORTSTMNT03/1754590,2,0.0,0.8,9,0.22,2.5,1,0.0,0.3,14,0.29,2.5,2,0.0,1.2,17,0.53,3.4,9,0.56,3.7,45,0.67,4.4,14,0.71,4.9,13,0.62,3.0,1
NA1/3795079739,2,0.5,2.1,1,0.0,1.2,1,0.0,0.6,1,0.0,0.3,3,0.0,1.3,11,0.55,1.9,1,1.0,3.6,1,1.0,8.3,2,0.5,4.6,2,0.5,2.3,1
ESPORTSTMNT03/1754625,39,0.67,3.5,16,0.56,4.3,46,0.59,3.9,29,0.66,5.0,8,0.5,2.6,26,0.62,3.8,10,0.7,3.2,24,0.67,3.7,1,0.0,1.5,10,0.6,4.3,0
NA1/3795220083,10,0.6,3.0,2,0.0,1.7,5,0.2,1.7,2,0.0,1.5,1,0.0,1.2,6,0.67,3.1,17,0.41,3.2,1,1.0,15.0,10,0.5,5.0,11,0.64,3.3,1
ESPORTSTMNT03/1764639,2,0.0,0.8,63,0.63,5.1,10,0.3,2.6,12,0.33,3.2,14,0.43,2.6,4,0.5,2.3,30,0.6,4.9,55,0.64,6.2,40,0.5,4.3,17,0.59,3.4,1
ESPORTSTMNT03/1764683,26,0.77,4.2,30,0.6,4.9,85,0.61,4.6,47,0.66,7.0,3,1.0,7.5,14,0.36,2.6,63,0.63,5.1,12,0.58,2.1,12,0.33,3.2,10,0.6,2.5,0
ESPORTSTMNT03/1764690,37,0.76,5.0,6,0.67,3.8,12,0.75,4.0,47,0.62,4.2,2,0.5,2.3,30,0.67,3.8,27,0.85,5.9,15,0.6,8.1,32,0.56,4.0,14,0.79,3.1,0
ESPORTSTMNT06/1570900,15,0.53,3.7,16,0.44,3.1,26,0.54,3.6,26,0.42,3.9,9,0.44,2.1,9,0.78,4.3,9,0.56,4.3,4,1.0,27.5,4,0.75,10.2,1,1.0,5.0,1
ESPORTSTMNT03/1764715,30,0.67,3.8,27,0.85,5.9,13,0.85,4.5,52,0.5,3.8,4,0.75,4.8,0,0.0,0.0,23,0.48,2.4,40,0.68,8.4,49,0.73,5.9,4,0.5,2.7,0
ESPORTSTMNT06/1570902,4,0.5,1.2,6,0.67,5.4,10,0.4,4.2,2,0.5,3.1,2,0.5,1.3,8,0.5,4.2,3,0.0,1.1,1,0.0,2.3,9,0.33,3.7,7,0.43,3.1,0
ESPORTSTMNT03/1764730,37,0.76,5.0,6,0.67,3.8,1,0.0,1.0,47,0.62,4.2,2,0.5,2.3,30,0.67,3.8,15,0.87,5.5,18,0.56,3.9,25,0.88,9.7,2,1.0,2.9,1
ESPORTSTMNT02/1688986,8,0.38,2.0,8,0.38,2.7,4,0.25,2.6,7,0.14,2.1,32,0.63,3.4,26,0.58,2.3,9,0.56,3.5,31,0.77,5.9,7,0.57,5.2,4,0.75,3.4,1
ESPORTSTMNT02/1698607,7,0.29,1.9,2,0.5,5.0,9,0.56,2.3,8,0.88,6.2,4,0.25,2.6,1,0.0,1.0,4,0.0,1.5,1,0.0,5.0,0,0.0,0.0,1,0.0,1.3,0
ESPORTSTMNT06/1570918,8,0.75,5.6,0,0.0,0.0,2,0.5,2.8,7,0.43,8.4,5,0.4,2.9,7,0.43,4.3,5,0.8,3.3,3,0.33,1.9,11,0.55,3.5,3,0.33,1.9,0
ESPORTSTMNT02/1688991,22,0.68,3.2,18,0.78,5.0,31,0.77,5.9,38,0.5,3.7,16,0.56,2.8,12,0.58,2.0,16,0.69,4.6,36,0.64,3.4,21,0.67,4.3,32,0.63,3.4,0
ESPORTSTMNT06/1570927,4,0.5,1.7,5,0.4,4.6,17,0.35,3.0,2,0.5,4.5,11,0.45,2.7,1,0.0,1.7,2,0.0,1.5,3,0.33,2.2,15,0.27,2.2,12,0.42,2.6,0
ESPORTSTMNT06/1570931,9,0.56,2.9,8,0.5,2.9,1,0.0,0.7,9,0.22,2.6,9,0.33,3.0,9,0.56,4.9,2,0.5,2.6,9,0.78,7.1,2,0.5,6.0,3,0.67,3.9,1
ESPORTSTMNT03/1764801,3,0.67,1.8,11,0.36,3.3,2,0.0,1.3,5,0.0,1.7,2,0.5,3.2,3,0.33,2.7,2,0.5,5.3,5,0.8,7.1,1,1.0,4.7,1,1.0,16.0,1
