"banned_champions"	"full"	"picked_champions"	"picked_champions_players_statistics"	"players_statistics"
0.660049627791563	0.768211920529801	0.629032258064516	0.801369863013699	0.846905537459283
0.659846547314578	0.779220779220779	0.635294117647059	0.801302931596091	0.821548821548822
0.68671679197995	0.810289389067524	0.56797583081571	0.827361563517915	0.855218855218855
0.606741573033708	0.855345911949686	0.679706601466993	0.832258064516129	0.809859154929577
0.595988538681948	0.797507788161994	0.645161290322581	0.779456193353474	0.83495145631068
0.584795321637427	0.792207792207792	0.655737704918033	0.7875	0.774834437086093
0.698630136986301	0.789644012944984	0.617886178861789	0.82	0.844155844155844
0.681818181818182	0.790540540540541	0.675392670157068	0.811881188118812	0.864864864864865
0.618384401114206	0.810126582278481	0.627118644067797	0.776699029126214	0.835016835016835
0.663316582914573	0.817610062893082	0.602272727272727	0.831746031746032	0.850793650793651
0.641025641025641	0.839344262295082	0.619469026548673	0.793650793650794	0.84012539184953
0.666666666666667	0.8	0.6	0.786163522012579	0.86
0.658415841584158	0.772727272727273	0.641095890410959	0.840390879478827	0.833333333333333
0.678391959798995	0.786666666666667	0.621468926553672	0.797385620915033	0.813333333333333
0.653266331658292	0.781456953642384	0.642642642642643	0.792332268370607	0.815789473684211
0.631853785900783	0.768253968253968	0.633608815426997	0.825082508250825	0.845901639344262
0.698630136986301	0.825082508250825	0.623529411764706	0.786885245901639	0.797250859106529
0.666666666666667	0.816993464052288	0.566978193146417	0.823151125401929	0.837209302325581
0.669975186104218	0.829113924050633	0.617021276595745	0.773993808049536	0.833333333333333
0.663366336633663	0.804953560371517	0.648936170212766	0.824281150159744	0.849498327759197
0.642105263157895	0.774410774410774	0.648351648351648	0.836477987421384	0.858085808580858
0.674937965260546	0.794520547945205	0.668555240793201	0.805194805194805	0.861842105263158
0.64021164021164	0.810457516339869	0.672	0.805031446540881	0.798679867986799
0.671834625322997	0.802631578947368	0.647058823529412	0.855345911949686	0.814332247557003
0.594444444444444	0.782334384858044	0.593059936908517	0.816053511705686	0.814569536423841
0.651741293532338	0.821656050955414	0.664804469273743	0.786440677966102	0.8
0.589531680440771	0.836012861736334	0.632152588555858	0.861635220125786	0.853242320819113
0.698630136986301	0.781456953642384	0.620481927710843	0.816720257234727	0.814814814814815
0.698630136986301	0.798701298701299	0.624657534246575	0.784053156146179	0.832786885245902
0.637837837837838	0.8	0.648793565683646	0.750788643533123	0.846153846153846
0.66	0.744336569579288	0.627118644067797	0.785478547854785	0.857142857142857
0.587878787878788	0.819047619047619	0.626780626780627	0.810289389067524	0.82943143812709
0.671679197994987	0.798657718120805	0.629834254143646	0.801324503311258	0.854237288135593
0.620320855614973	0.791946308724832	0.621082621082621	0.816720257234727	0.8375
0.666666666666667	0.807817589576547	0.646900269541779	0.794612794612795	0.842809364548495
0.697247706422018	0.837209302325581	0.58659217877095	0.812080536912752	0.817567567567568
0.661577608142494	0.831168831168831	0.623306233062331	0.814332247557003	0.80794701986755
0.666666666666667	0.777777777777778	0.636636636636637	0.819277108433735	0.860927152317881
0.637602179836512	0.808917197452229	0.614925373134328	0.807570977917981	0.825806451612903
0.64850136239782	0.810126582278481	0.661417322834646	0.820846905537459	0.812080536912752
0.602272727272727	0.801261829652997	0.622478386167147	0.814569536423841	0.858085808580858
0.673469387755102	0.819354838709677	0.676923076923077	0.745874587458746	0.817567567567568
0.654639175257732	0.785478547854785	0.675675675675676	0.765273311897106	0.805194805194805
0.635359116022099	0.823899371069182	0.604651162790698	0.828025477707006	0.826498422712934
0.700228832951945	0.815789473684211	0.64850136239782	0.768729641693811	0.852348993288591
0.668329177057357	0.782608695652174	0.621621621621622	0.815286624203822	0.829113924050633
0.666666666666667	0.819047619047619	0.639769452449568	0.781456953642384	0.838926174496644
0.666666666666667	0.801324503311258	0.636871508379888	0.811688311688312	0.852348993288591
0.658536585365854	0.806349206349206	0.657824933687003	0.798679867986799	0.795847750865052
