game,blueTopGP,blueTopWR,blueTopKDA,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidGP,blueMidWR,blueMidKDA,blueADCGP,blueADCWR,blueADCKDA,blueSupportGP,blueSupportWR,blueSupportKDA,redTopGP,redTopWR,redTopKDA,redJungleGP,redJungleWR,redJungleKDA,redMidGP,redMidWR,redMidKDA,redAdcGP,redAdcWR,redAdcKDA,redSupportGP,redSupportWR,redSupportKDA,result
7357-9950,5,0.6,3.0,6,0.67,3.47,1,1.0,7.0,12,0.75,5.28,7,0.71,4.07,5,0.6,4.31,6,0.5,4.71,4,0.75,10.67,10,0.6,6.58,16,0.5,5.63,1
ESPORTSTMNT02/1735493,1,1.0,3.5,5,0.4,2.04,0,0,0,8,0.5,3.25,6,0.5,2.04,2,0.0,4.0,4,0.75,4.38,4,0.25,3.36,2,0.0,3.25,2,0.5,24.0,0
7358-9951,6,0.5,2.3,1,1.0,7.0,0,0,0,0,0,0,5,0.4,1.77,1,0.0,9.0,4,0.25,2.58,0,0,0,1,0.0,1.0,4,0.5,1.8,1
ESPORTSTMNT02/1735520,2,0.5,0.75,2,0.5,0.5,0,0,0,0,0,0,3,0.67,2.17,0,0,0,4,0.5,2.06,2,0.5,4.0,11,0.73,4.38,3,0.67,1.27,1
7358-9952,2,0.0,10.67,5,0.2,3.67,7,0.71,5.0,5,0.2,3.75,0,0,0,7,0.43,1.88,8,0.62,1.6,0,0,0,9,0.44,6.36,6,0.33,1.67,1
7358-9953,4,0.5,8.0,9,0.56,1.87,0,0,0,10,0.4,6.86,7,0.43,2.0,0,0,0,2,0.5,4.0,7,0.43,3.88,0,0,0,8,0.62,3.16,1
ESPORTSTMNT05/1870935,1,1.0,4.33,3,0.33,3.45,2,0.0,4.43,3,0.33,5.0,4,0.5,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ESPORTSTMNT02/1735555,0,0,0,6,1.0,4.76,3,0.67,6.14,0,0,0,4,0.75,4.21,2,1.0,4.5,0,0,0,1,1.0,9.0,0,0,0,1,1.0,9.0,0
ESPORTSTMNT05/1870943,1,0.0,16.0,1,0.0,14.0,0,0,0,0,0,0,2,0.0,0.92,1,0.0,7.0,0,0,0,0,0,0,1,0.0,2.6,0,0,0,1
ESPORTSTMNT02/1735573,0,0,0,0,0,0,0,0,0,1,1.0,16.0,2,1.0,7.75,0,0,0,1,1.0,2.33,3,1.0,22.5,0,0,0,2,1.0,3.29,0
