bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport,result
Pantheon,Lee Sin,LeBlanc,Kai'Sa,Seraphine,Akali,Jarvan IV,Orianna,Miss Fortune,Karma,1
Gangplank,Kindred,Ekko,Jhin,Leona,Wukong,Lillia,Syndra,Miss Fortune,Seraphine,1
Sion,Kayn,Syndra,Miss Fortune,Leona,Camille,Olaf,Orianna,Jhin,Galio,1
Aatrox,Graves,Viktor,Jhin,Galio,Pantheon,Lillia,Gragas,Kai'Sa,Braum,0
Irelia,Graves,LeBlanc,Kai'Sa,Leona,Maokai,Hecarim,Sylas,Miss Fortune,Thresh,1
Sion,Olaf,Viktor,Samira,Alistar,Gangplank,Kindred,Anivia,Kai'Sa,Taric,0
Jax,Olaf,Rumble,Kai'Sa,Alistar,Camille,Hecarim,Lulu,Vayne,Leona,1
Darius,Jarvan IV,Syndra,Lucian,Thresh,Jax,Hecarim,Xerath,Jhin,Leona,0
Shen,Graves,Akali,Miss Fortune,Maokai,Vayne,Lillia,Lucian,Jhin,Galio,1
Rengar,Graves,Galio,Miss Fortune,Morgana,Wukong,Gragas,Lucian,Jhin,Leona,1
Gragas,Graves,Azir,Miss Fortune,Maokai,Camille,Kindred,Viktor,Ezreal,Galio,0
Aatrox,Lillia,Syndra,Miss Fortune,Galio,Fiora,Rengar,Akali,Kai'Sa,Bard,0
Camille,Graves,Syndra,Miss Fortune,Thresh,Renekton,Ezreal,Leona,Gragas,Orianna,0
Gragas,Olaf,Orianna,Kai'Sa,Sett,Renekton,Graves,Galio,Aphelios,Thresh,0
Camille,Graves,Twisted Fate,Kai'Sa,Sett,Jax,Nidalee,Viktor,Jhin,Alistar,0
Aatrox,Nidalee,Zoe,Jhin,Galio,Ornn,Graves,Viktor,Kai'Sa,Alistar,1
Renekton,Nidalee,Jayce,Aphelios,Thresh,Kennen,Graves,Zoe,Kai'Sa,Sett,0
Gnar,Nidalee,Twisted Fate,Kai'Sa,Leona,Jayce,Graves,Viktor,Jhin,Alistar,0
Yorick,Graves,Ekko,Kai'Sa,Braum,Ornn,Kha'Zix,Ziggs,Miss Fortune,Seraphine,0
Camille,Pantheon,Karma,Miss Fortune,Galio,Poppy,Graves,Orianna,Kai'Sa,Alistar,1
Kennen,Graves,Viktor,Samira,Leona,Ornn,Karthus,Lucian,Kai'Sa,Gragas,0
Rumble,Lillia,Yone,Lucian,Nami,Shen,Gragas,Irelia,Ashe,Maokai,0
Renekton,Graves,Orianna,Kai'Sa,Leona,Ornn,Ekko,Qiyana,Jhin,Alistar,0
Sion,Olaf,Seraphine,Miss Fortune,Braum,Shen,Lillia,Qiyana,Jhin,Leona,0
Gnar,Kindred,Seraphine,Jinx,Karma,Volibear,Olaf,Azir,Jhin,Rakan,0
Wukong,Lee Sin,Corki,Neeko,Seraphine,Malphite,Kindred,Xerath,Jhin,Galio,1
Akali,Lillia,Yone,Samira,Leona,Maokai,Kha'Zix,Annie,Miss Fortune,Seraphine,1
Ornn,Ekko,Pantheon,Kai'Sa,Braum,Shen,Graves,Galio,Miss Fortune,Seraphine,1
Poppy,Lillia,Seraphine,Jhin,Thresh,Vladimir,Kha'Zix,Galio,Miss Fortune,Leona,1
Shen,Nocturne,Azir,Jhin,Seraphine,Riven,Kindred,Viktor,Miss Fortune,Alistar,0
Cho'Gath,Kindred,Viktor,Vayne,Leona,Ornn,Olaf,Azir,Samira,Galio,1
Malphite,Graves,Ryze,Miss Fortune,Galio,Sylas,Olaf,Karma,Jhin,Seraphine,1
Mordekaiser,Olaf,Orianna,Kai'Sa,Thresh,Camille,Graves,Galio,Aphelios,Nautilus,0
Shen,Hecarim,Syndra,Kai'Sa,Pantheon,Renekton,Taliyah,Azir,Miss Fortune,Seraphine,0
Aatrox,Lillia,Syndra,Kai'Sa,Pantheon,Gragas,Olaf,Ekko,Caitlyn,Leona,0
Aatrox,Hecarim,Azir,Kai'Sa,Alistar,Kled,Lillia,Sett,Samira,Leona,1
Jax,Olaf,Lulu,Kai'Sa,Rakan,Aatrox,Nidalee,Irelia,Ezreal,Alistar,1
Mordekaiser,Graves,Orianna,Samira,Galio,Malphite,Gragas,Yasuo,Kai'Sa,Alistar,0
Camille,Nidalee,Sylas,Jhin,Pantheon,Ornn,Lillia,Irelia,Miss Fortune,Alistar,0
Maokai,Lillia,Pantheon,Jhin,Thresh,Aatrox,Graves,Syndra,Kai'Sa,Leona,1
Aatrox,Kindred,Viktor,Kai'Sa,Nautilus,Gangplank,Ivern,Anivia,Samira,Gragas,0
Ornn,Graves,Azir,Samira,Rakan,Shen,Taliyah,Katarina,Jhin,Braum,0
Sion,Taliyah,Yone,Kai'Sa,Galio,Wukong,Graves,Anivia,Samira,Thresh,0
Darius,Taliyah,Sett,Ashe,Alistar,Gangplank,Hecarim,Sylas,Kai'Sa,Leona,1
Shen,Ekko,Zoe,Ezreal,Pantheon,Gnar,Graves,Fizz,Lucian,Braum,1
Aatrox,Graves,Seraphine,Kai'Sa,Galio,Malphite,Lillia,Lucian,Jhin,Braum,0
Camille,Olaf,Syndra,Tristana,Ivern,Akali,Graves,Seraphine,Miss Fortune,Leona,1
Camille,Fiddlesticks,Seraphine,Jhin,Thresh,Volibear,Graves,Galio,Ashe,Lulu,1
Aatrox,Nidalee,Syndra,Jhin,Alistar,Kennen,Graves,Anivia,Ezreal,Rakan,1
Shen,Kha'Zix,Ekko,Miss Fortune,Thresh,Aatrox,Graves,Syndra,Jhin,Nautilus,0
Wukong,Hecarim,Yone,Kai'Sa,Maokai,Gragas,Lillia,Renekton,Jhin,Galio,1
Jax,Hecarim,Corki,Miss Fortune,Rell,Fiora,Skarner,Ekko,Jhin,Leona,0
Poppy,Graves,Syndra,Lucian,Braum,Mordekaiser,Taliyah,Pantheon,Jhin,Bard,1
Renekton,Taliyah,Akali,Jhin,Maokai,Shen,Graves,Orianna,Kai'Sa,Galio,0
Wukong,Taliyah,Galio,Kai'Sa,Nautilus,Gragas,Graves,Corki,Aphelios,Maokai,0
Urgot,Graves,Sylas,Samira,Maokai,Camille,Sejuani,Viktor,Jhin,Galio,1
Camille,Skarner,Viktor,Kai'Sa,Leona,Aatrox,Lillia,Yone,Jhin,Thresh,0
Ornn,Graves,Seraphine,Aphelios,Thresh,Malphite,Nidalee,Zoe,Kai'Sa,Maokai,0
Shen,Hecarim,Viktor,Kai'Sa,Bard,Aatrox,Taliyah,Twisted Fate,Jhin,Maokai,1
Aatrox,Taliyah,Lucian,Jhin,Galio,Wukong,Graves,Viktor,Samira,Leona,1
Camille,Lillia,Orianna,Jhin,Alistar,Aatrox,Olaf,Galio,Kai'Sa,Bard,0
Aatrox,Kayn,Orianna,Kai'Sa,Maokai,Renekton,Lillia,Viktor,Jhin,Galio,0
Ornn,Graves,Zoe,Jhin,Alistar,Aatrox,Pantheon,Syndra,Aphelios,Thresh,1
Camille,Taliyah,Yone,Jhin,Sett,Gnar,Nidalee,Orianna,Kai'Sa,Alistar,0
Wukong,Olaf,Twisted Fate,Kai'Sa,Sett,Gragas,Graves,Zoe,Samira,Leona,0
Ornn,Olaf,Orianna,Kai'Sa,Sett,Aatrox,Pantheon,Zoe,Vayne,Galio,0
Gnar,Olaf,Zoe,Jhin,Leona,Aatrox,Graves,Orianna,Kai'Sa,Rakan,1
Gnar,Pantheon,Viktor,Aphelios,Thresh,Renekton,Olaf,Syndra,Kai'Sa,Sett,1
Akali,Nidalee,Lucian,Kai'Sa,Alistar,Aatrox,Pantheon,Syndra,Aphelios,Sett,0
Shen,Pantheon,Orianna,Kai'Sa,Galio,Ornn,Graves,Syndra,Xayah,Leona,0
Kennen,Olaf,Zoe,Jhin,Pantheon,Malphite,Graves,Orianna,Kai'Sa,Rakan,1
Camille,Olaf,Galio,Aphelios,Thresh,Gnar,Graves,Zoe,Kai'Sa,Sett,0
Gnar,Pantheon,Syndra,Jhin,Shen,Aatrox,Sejuani,Viktor,Samira,Leona,0
Ornn,Olaf,Viktor,Kai'Sa,Alistar,Aatrox,Nidalee,Zoe,Ezreal,Sett,1
Camille,Nidalee,Syndra,Miss Fortune,Shen,Vladimir,Taliyah,Lucian,Jhin,Leona,1
Ornn,Graves,Syndra,Samira,Gragas,Camille,Olaf,Akali,Jhin,Sett,0
Gnar,Pantheon,Orianna,Tristana,Leona,Karma,Graves,Zoe,Jhin,Galio,0
Sett,Kindred,Zoe,Jhin,Gragas,Ornn,Graves,LeBlanc,Samira,Leona,0
Sett,Olaf,Orianna,Kai'Sa,Rell,Camille,Graves,Zoe,Jhin,Alistar,0
Kennen,Nidalee,Lucian,Miss Fortune,Alistar,Aatrox,Taliyah,Pantheon,Jhin,Maokai,1
Gnar,Olaf,Zoe,Tristana,Alistar,Vayne,Graves,Orianna,Lucian,Leona,0
Gangplank,Nidalee,Syndra,Kai'Sa,Sett,Gragas,Graves,Akali,Xayah,Alistar,0
Renekton,Taliyah,Irelia,Samira,Maokai,Ornn,Graves,Viktor,Kai'Sa,Rell,0
Aatrox,Nidalee,Akali,Aphelios,Thresh,Jayce,Taliyah,Galio,Miss Fortune,Leona,0
Aatrox,Graves,Syndra,Kai'Sa,Alistar,Renekton,Taliyah,Orianna,Samira,Rell,1
Sion,Taliyah,Tristana,Ashe,Leona,Ornn,Lee Sin,Ekko,Jhin,Braum,0
Jayce,Graves,Syndra,Samira,Gragas,Malphite,Kindred,Zoe,Ashe,Galio,0
Shen,Rek'Sai,Galio,Jhin,Alistar,Renekton,Lillia,Viktor,Kai'Sa,Gragas,1
Gragas,Kindred,Syndra,Kai'Sa,Sett,Aatrox,Graves,Galio,Xayah,Leona,0
Gragas,Lillia,Lucian,Kai'Sa,Sett,Aatrox,Graves,Viktor,Jhin,Leona,0
Jayce,Nidalee,Syndra,Aphelios,Thresh,Gnar,Olaf,Zoe,Miss Fortune,Leona,0
Aatrox,Lillia,Syndra,Kai'Sa,Sett,Renekton,Graves,Zoe,Miss Fortune,Thresh,0
Gragas,Graves,Orianna,Miss Fortune,Leona,Camille,Nidalee,Galio,Samira,Alistar,1
Ornn,Graves,Zoe,Samira,Alistar,Gnar,Olaf,Sylas,Jhin,Rell,0
Ornn,Graves,Galio,Kai'Sa,Sett,Renekton,Hecarim,Orianna,Samira,Alistar,1
Kennen,Olaf,Orianna,Samira,Galio,Camille,Graves,Akali,Lucian,Leona,1
Ornn,Graves,Galio,Samira,Gragas,Aatrox,Lillia,Twisted Fate,Kai'Sa,Thresh,1
Gnar,Olaf,Syndra,Ezreal,Alistar,Jayce,Graves,Zoe,Jhin,Galio,0
Aatrox,Olaf,Orianna,Samira,Leona,Gragas,Graves,Zoe,Kai'Sa,Alistar,0
Aatrox,Nidalee,Zoe,Aphelios,Leona,Camille,Lillia,Yone,Jinx,Thresh,1
Gnar,Lillia,Twisted Fate,Vayne,Sett,Camille,Graves,Galio,Samira,Gragas,0
Aatrox,Olaf,Orianna,Lucian,Braum,Ornn,Lillia,Jayce,Vayne,Maokai,0
Renekton,Nidalee,Syndra,Kai'Sa,Alistar,Aatrox,Taliyah,Sett,Miss Fortune,Leona,0
Gnar,Graves,Zoe,Aphelios,Alistar,Camille,Olaf,Twisted Fate,Jhin,Gragas,0
Orianna,Pantheon,Ryze,Kai'Sa,Leona,Aatrox,Olaf,Viktor,Aphelios,Galio,0
Renekton,Graves,Syndra,Xayah,Leona,Gnar,Lillia,Orianna,Samira,Alistar,1
Malphite,Olaf,Orianna,Kai'Sa,Leona,Sylas,Pantheon,Viktor,Aphelios,Thresh,1
Ornn,Olaf,Orianna,Samira,Seraphine,Lulu,Graves,Zoe,Vayne,Braum,0
Aatrox,Nidalee,Azir,Samira,Maokai,Gnar,Lillia,Orianna,Xayah,Alistar,1
Gragas,Kindred,Orianna,Kai'Sa,Sett,Aatrox,Graves,Zoe,Jhin,Seraphine,0
Renekton,Taliyah,Lucian,Xayah,Braum,Akali,Lee Sin,Viktor,Kai'Sa,Alistar,0
Wukong,Nunu & Willump,Syndra,Samira,Alistar,Aatrox,Hecarim,Viktor,Kai'Sa,Gragas,1
Volibear,Nidalee,Akali,Jhin,Rell,Renekton,Lillia,Kassadin,Kai'Sa,Leona,1
Shen,Olaf,Orianna,Samira,Gragas,Sett,Nidalee,Lucian,Ezreal,Alistar,0
Quinn,Nidalee,Zoe,Aphelios,Thresh,Renekton,Lillia,Syndra,Kai'Sa,Galio,1
Renekton,Taliyah,Syndra,Samira,Maokai,Ornn,Nidalee,Akali,Kai'Sa,Alistar,0
Gnar,Nidalee,Jayce,Samira,Alistar,Aatrox,Graves,Sylas,Kai'Sa,Sett,1
Wukong,Kayn,LeBlanc,Jhin,Sett,Jayce,Lillia,Orianna,Kai'Sa,Galio,1
Fiora,Taliyah,Galio,Kai'Sa,Alistar,Aatrox,Nidalee,Pantheon,Samira,Leona,0
Camille,Taliyah,Orianna,Jhin,Nautilus,Gnar,Nidalee,Zoe,Aphelios,Rell,0
Gnar,Lillia,Syndra,Kai'Sa,Nautilus,Irelia,Hecarim,Orianna,Aphelios,Thresh,1
Gnar,Hecarim,Galio,Kai'Sa,Leona,Jayce,Pantheon,Orianna,Xayah,Alistar,1
Ornn,Graves,Orianna,Kai'Sa,Rell,Sett,Lillia,Lucian,Jhin,Alistar,0
Volibear,Nidalee,Yone,Samira,Alistar,Renekton,Lillia,Azir,Aphelios,Thresh,1
Renekton,Pantheon,Orianna,Xayah,Rakan,Gnar,Aatrox,Syndra,Samira,Alistar,0
Shen,Ekko,Twisted Fate,Kai'Sa,Sett,Renekton,Pantheon,Orianna,Samira,Alistar,1
Camille,Olaf,Akali,Aphelios,Thresh,Renekton,Taliyah,Orianna,Samira,Leona,0
Shen,Kayn,Twisted Fate,Kai'Sa,Galio,Renekton,Lillia,Zoe,Samira,Sett,0
Ornn,Olaf,Ekko,Kai'Sa,Nautilus,Sett,Kindred,Syndra,Draven,Thresh,1
Renekton,Sejuani,Syndra,Kai'Sa,Sett,Kennen,Graves,Orianna,Aphelios,Thresh,0
Gnar,Olaf,Azir,Samira,Galio,Gangplank,Graves,Zoe,Kai'Sa,Alistar,1
Ornn,Lee Sin,Zoe,Xayah,Leona,Renekton,Lillia,Yone,Kai'Sa,Sett,0
Jayce,Karthus,Galio,Aphelios,Thresh,Aatrox,Hecarim,Syndra,Kai'Sa,Sett,0
Darius,Pantheon,Zoe,Kai'Sa,Leona,Renekton,Nidalee,Twisted Fate,Samira,Alistar,1
Gnar,Olaf,Zoe,Kai'Sa,Nautilus,Camille,Lillia,Azir,Samira,Rell,0
Renekton,Nidalee,Syndra,Samira,Galio,Aatrox,Pantheon,LeBlanc,Kai'Sa,Alistar,0
Aatrox,Olaf,Syndra,Kai'Sa,Leona,Malphite,Hecarim,Anivia,Miss Fortune,Maokai,1
Shen,Olaf,Syndra,Miss Fortune,Maokai,Aatrox,Sejuani,Cassiopeia,Ezreal,Thresh,0
Shen,Olaf,Seraphine,Samira,Alistar,Wukong,Graves,Cassiopeia,Kai'Sa,Leona,0
Renekton,Taliyah,Twisted Fate,Kai'Sa,Sett,Gnar,Graves,Orianna,Xayah,Leona,0
Camille,Nidalee,Syndra,Samira,Leona,Malphite,Graves,Twisted Fate,Kai'Sa,Sett,0
Renekton,Graves,Syndra,Kai'Sa,Galio,Ornn,Lillia,Yone,Lucian,Leona,0
Renekton,Taliyah,Yone,Samira,Leona,Ornn,Graves,Orianna,Kai'Sa,Rell,0
Renekton,Sejuani,Akali,Jhin,Alistar,Gangplank,Graves,Twisted Fate,Kai'Sa,Galio,1
Malphite,Graves,Azir,Samira,Alistar,Camille,Lillia,Viktor,Kai'Sa,Leona,1
Kennen,Graves,Ekko,Kai'Sa,Leona,Camille,Olaf,Viktor,Aphelios,Thresh,0
Camille,Taliyah,Lucian,Kai'Sa,Alistar,Aatrox,Graves,Orianna,Samira,Gragas,0
Renekton,Lillia,Sett,Tristana,Galio,Aatrox,Nidalee,Lucian,Xayah,Alistar,0
Aatrox,Taliyah,Syndra,Kai'Sa,Leona,Irelia,Pantheon,Galio,Jhin,Alistar,0
Quinn,Taliyah,Orianna,Kai'Sa,Alistar,Renekton,Nidalee,Galio,Samira,Leona,0
Aatrox,Taliyah,Syndra,Kai'Sa,Leona,Irelia,Pantheon,Galio,Samira,Gragas,1
Ornn,Olaf,Viktor,Kai'Sa,Sett,Vladimir,Pantheon,Graves,Aphelios,Thresh,0
Ornn,Olaf,Syndra,Samira,Alistar,Aatrox,Pantheon,Galio,Kai'Sa,Sett,1
Camille,Taliyah,Twisted Fate,Miss Fortune,Maokai,Mordekaiser,Lee Sin,Cassiopeia,Kai'Sa,Alistar,0
Gragas,Pantheon,Akali,Kai'Sa,Sett,Gnar,Olaf,Jhin,Ziggs,Leona,0
Gragas,Graves,Karma,Aphelios,Thresh,Ornn,Taliyah,Jayce,Kai'Sa,Nautilus,1
Gnar,Olaf,Syndra,Miss Fortune,Sett,Jayce,Lillia,Lucian,Jhin,Leona,1
Gragas,Olaf,Ryze,Kai'Sa,Galio,Gnar,Graves,Twisted Fate,Jhin,Leona,0
Wukong,Karthus,Zoe,Kai'Sa,Sett,Aatrox,Olaf,Viktor,Jhin,Galio,0
Renekton,Nidalee,Orianna,Kai'Sa,Leona,Ornn,Hecarim,Viktor,Aphelios,Thresh,0
Renekton,Nidalee,Jayce,Jhin,Nautilus,Gnar,Lillia,Syndra,Kai'Sa,Alistar,0
Gragas,Graves,Zoe,Aphelios,Thresh,Aatrox,Olaf,Orianna,Kai'Sa,Sett,0
Renekton,Pantheon,Twisted Fate,Kai'Sa,Sett,Camille,Karthus,Orianna,Draven,Thresh,0
Jayce,Olaf,Rumble,Aphelios,Thresh,Gnar,Graves,Zoe,Kai'Sa,Alistar,0
Gnar,Pantheon,Galio,Samira,Alistar,Gangplank,Nidalee,Orianna,Kai'Sa,Sett,0
Renekton,Nidalee,Orianna,Ezreal,Alistar,Aatrox,Taliyah,Sett,Kai'Sa,Leona,0
Malphite,Olaf,Zoe,Kai'Sa,Alistar,Sylas,Sejuani,Yasuo,Miss Fortune,Sett,0
Gragas,Olaf,Orianna,Aphelios,Thresh,Aatrox,Graves,Rumble,Kai'Sa,Leona,0
Aatrox,Taliyah,Syndra,Kai'Sa,Sett,Fiora,Olaf,Orianna,Aphelios,Rakan,0
Sion,Kindred,Zoe,Samira,Alistar,Camille,Taliyah,Twisted Fate,Kai'Sa,Leona,1
Camille,Nidalee,Viktor,Jhin,Alistar,Renekton,Taliyah,Orianna,Samira,Leona,1
Riven,Olaf,Orianna,Kai'Sa,Rell,Urgot,Lillia,Irelia,Aphelios,Galio,1
Fiora,Nidalee,Twisted Fate,Kai'Sa,Alistar,Volibear,Taliyah,Irelia,Jhin,Leona,1
Kennen,Olaf,Zoe,Jhin,Leona,Gnar,Nidalee,Yone,Miss Fortune,Galio,0
Renekton,Nidalee,Zoe,Jhin,Thresh,Gragas,Lillia,Lucian,Kai'Sa,Rell,0
Camille,Taliyah,Galio,Kalista,Thresh,Gnar,Nidalee,Orianna,Jhin,Alistar,1
Fiora,Nidalee,Orianna,Jhin,Leona,Camille,Kindred,Galio,Miss Fortune,Alistar,1
Gragas,Graves,Viktor,Kai'Sa,Nautilus,Camille,Karthus,Yone,Samira,Galio,0
Gnar,Taliyah,Viktor,Jhin,Rell,Renekton,Lillia,Orianna,Kai'Sa,Sett,0
Shen,Taliyah,Zoe,Aphelios,Thresh,Camille,Ekko,Galio,Kai'Sa,Leona,0
Volibear,Graves,Orianna,Kai'Sa,Alistar,Renekton,Nidalee,Tristana,Aphelios,Leona,0
Ornn,Graves,Ziggs,Kai'Sa,Nautilus,Aatrox,Rengar,Viktor,Aphelios,Thresh,0
Shen,Olaf,Anivia,Kai'Sa,Leona,Kayle,Graves,Viktor,Miss Fortune,Galio,0
Camille,Kindred,Galio,Aphelios,Lulu,Renekton,Lillia,Azir,Kai'Sa,Sett,0
Camille,Sejuani,Yone,Kai'Sa,Thresh,Ornn,Kha'Zix,Orianna,Aphelios,Braum,1
Malphite,Hecarim,Akali,Jhin,Leona,Aatrox,Graves,Twisted Fate,Kai'Sa,Galio,1
Poppy,Hecarim,Viktor,Jhin,Taric,Gragas,Graves,Seraphine,Kai'Sa,Galio,0
Maokai,Hecarim,Galio,Kai'Sa,Nautilus,Shen,Graves,Azir,Aphelios,Thresh,1
Shen,Hecarim,Azir,Miss Fortune,Seraphine,Mordekaiser,Nidalee,Lucian,Jhin,Alistar,1
