game,bluetop,bluetopgp,bluetopwr,bluetopkda,bluejungle,bluejunglegp,bluejunglewr,bluejunglekda,bluemid,bluemidgp,bluemidwr,bluemidkda,blueadc,blueadcgp,blueadcwr,blueadckda,bluesupport,bluesupportgp,bluesupportwr,bluesupportkda,redtop,redtopgp,redtopwr,redtopkda,redjungle,redjunglegp,redjunglewr,redjunglekda,redmid,redmidgp,redmidwr,redmidkda,redadc,redadcgp,redadcwr,redadckda,redsupport,redsupportgp,redsupportwr,redsupportkda,result
NA1/3739085268,Gragas,20,70%,3.1,Graves,16,69%,4.1,Syndra,27,44%,2.8,Jhin,34,38%,5.2,Galio,29,69%,5.2,Ornn,3,0%,0.5,Lillia,14,71%,4.0,Zoe,2,0%,0.6,Miss Fortune,2,0%,0.7,Leona,1,0%,0.8,0
NA1/3739125348,Volibear,2,50%,7.5,Kindred,5,0%,2.7,Karma,2,50%,4.3,Kai'Sa,14,36%,3.3,Gragas,3,33%,1.9,Renekton,7,29%,1.2,Taliyah,1,100%,1.0,Seraphine,6,100%,4.7,Aphelios,9,67%,4.6,Leona,5,60%,4.6,1
NA1/3739254924,Wukong,10,80%,3.3,Graves,10,70%,6.2,Karma,10,60%,6.1,Samira,3,67%,13.0,Leona,7,86%,4.0,Mordekaiser,1,0%,0.3,Kindred,1,0%,0.0,Pantheon,1,0%,0.0,Kai'Sa,6,33%,3.1,Galio,2,0%,1.0,0
NA1/3739294661,Renekton,15,53%,3.0,Taliyah,15,80%,7.7,Akali,10,30%,1.6,Kai'Sa,32,66%,4.9,Nautilus,27,52%,2.3,Ornn,4,50%,2.4,Graves,5,20%,2.6,Zoe,2,0%,1.3,Jhin,3,0%,9.5,Galio,1,0%,6.0,0
NA1/3739154751,Malphite,10,60%,3.0,Kindred,5,60%,3.2,Seraphine,3,33%,2.1,Ashe,2,0%,1.5,Galio,10,30%,2.0,Sylas,6,67%,3.6,Graves,4,75%,8.1,Orianna,11,64%,3.9,Kai'Sa,21,67%,5.5,Leona,14,50%,2.9,1
NA1/3739274927,Ornn,10,70%,3.9,Graves,20,80%,5.6,Syndra,13,62%,3.4,Samira,FIRST TIME PLAYING,FIRST TIME PLAYING,FIRST TIME PLAYING,Alistar,FIRST TIME PLAYING,FIRST TIME PLAYING,FIRST TIME PLAYING,Volibear,1,0%,0.0,Elise,5,20%,1.7,Renekton,3,0%,0.6,Miss Fortune,1,0%,0.0,Leona,1,0%,0.0,0
NA1/3739394453,Poppy,7,43%,2.2,Kindred,3,0%,0.9,Syndra,3,0%,1.5,Kai'Sa,8,13%,2.4,Maokai,2,50%,1.2,Mordekaiser,6,50%,2.3,Graves,5,80%,3.9,Akali,6,50%,4.2,Miss Fortune,4,75%,4.6,Leona,11,27%,2.0,1
NA1/3739394472,Pantheon,1,100%,7.5,Taliyah,5,40%,3.4,Yone,4,50%,4.0,Kai'Sa,15,53%,6.9,Galio,29,69%,5.2,Vladimir,2,50%,1.3,Graves,18,44%,2.5,Orianna,2,0%,0.2,Samira,2,0%,0.7,Nautilus,1,0%,0.2,0
NA1/3739185150,Urgot,24,46%,3.3,Lillia,2,100%,2.2,Sylas,4,25%,2.6,Samira,5,60%,3.1,Galio,5,60%,4.3,Shen,1,0%,1.8,Hecarim,3,0%,1.9,Viktor,1,0%,3.0,Graves,1,0%,3.6,Alistar,1,0%,2.3,0
NA1/3739464588,Camille,11,55%,1.9,Lillia,5,60%,2.7,Zed,5,40%,1.8,Kai'Sa,15,40%,2.8,Rell,4,75%,2.2,Kennen,2,0%,3.3,Graves,4,25%,2.9,Syndra,24,50%,3.5,Samira,FIRST TIME PLAYING,FIRST TIME PLAYING,FIRST TIME PLAYING,Nautilus,4,50%,4.1,0
NA1/3739125682,Pantheon,1,0%,1.5,Lee Sin,5,0%,1.4,LeBlanc,10,40%,4.8,Kai'Sa,3,0%,0.9,Seraphine,4,25%,1.8,Akali,3,100%,10.3,Jarvan IV,15,60%,4.9,Orianna,FIRST TIME PLAYING,FIRST TIME PLAYING,FIRST TIME PLAYING,Miss Fortune,6,67%,3.5,Karma,2,100%,4.7,1
NA1/3739274973,Gangplank,2,0%,1.2,Kindred,2,0%,1.0,Ekko,2,0%,2.9,Jhin,3,0%,3.3,Leona,3,0%,1.1,Wukong,4,50%,1.8,Lillia,3,67%,4.2,Syndra,FIRST TIME PLAYING,FIRST TIME PLAYING,FIRST TIME PLAYING,Miss Fortune,3,67%,5.0,Seraphine,3,33%,2.4,1
NA1/3739245218,Sion,4,25%,1.4,Kayn,1,0%,2.1,Syndra,3,0%,2.0,Miss Fortune,1,0%,3.2,Leona,3,67%,5.9,Camille,29,52%,2.3,Olaf,13,69%,3.9,Orianna,33,64%,4.3,Jhin,11,82%,8.5,Galio,9,89%,4.8,1
NA1/3739085622,Aatrox,10,60%,2.0,Graves,1,100%,4.5,Viktor,8,38%,2.1,Jhin,9,44%,3.1,Galio,9,44%,1.7,Pantheon,4,0%,1.5,Lillia,6,33%,3.5,Gragas,1,0%,1.4,Kai'Sa,FIRST TIME PLAYING,FIRST TIME PLAYING,FIRST TIME PLAYING,Braum,8,13%,2.8,0
NA1/3739484923,Irelia,3,0%,1.3,Graves,17,53%,4.0,LeBlanc,7,0%,2.7,Kai'Sa,4,25%,3.6,Leona,8,25%,2.4,Maokai,FIRST TIME PLAYING,FIRST TIME PLAYING,FIRST TIME PLAYING,Hecarim,13,46%,2.4,Sylas,6,67%,2.5,Miss Fortune,10,50%,2.7,Thresh,15,53%,4.8,1
