game,blueTopGP,blueTopWR,blueTopKDA,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidGP,blueMidWR,blueMidKDA,blueADCGP,blueADCWR,blueADCKDA,blueSupportGP,blueSupportWR,blueSupportKDA,redTopGP,redTopWR,redTopKDA,redJungleGP,redJungleWR,redJungleKDA,redMidGP,redMidWR,redMidKDA,redAdcGP,redAdcWR,redAdcKDA,redSupportGP,redSupportWR,redSupportKDA,result
NA1/3745407667,3,0.33,3.4,11,0.64,3.4,0,0,0,21,0.38,2.9,6,0.5,2.4,4,0.25,1.0,12,0.58,3.1,5,0.6,3.5,16,0.44,2.0,7,0.43,1.8,0
NA1/3745368371,14,0.57,2.5,10,0.7,6.2,15,0.47,3.8,43,0.58,4.6,24,0.58,3.0,22,0.45,2.3,5,0.6,2.5,19,0.68,4.3,7,0.43,2.4,9,0.22,4.9,0
NA1/3745278370,14,0.64,4.6,4,1.0,4.7,0,0,0,21,0.43,3.6,4,0.75,5.7,2,0.5,2.2,16,0.69,4.1,16,0.44,3.5,17,0.47,3.4,29,0.69,5.2,0
NA1/3745487702,1,1.0,4.0,2,0.5,2.3,7,0.57,3.7,11,0.45,2.8,3,0.67,4.4,7,0.29,1.2,17,0.53,4.3,25,0.48,3.4,0,0,0,3,0.33,1.8,0
NA1/3745407775,8,0.13,1.6,1,0.0,0.6,4,0.5,3.6,2,0.5,3.0,1,0.0,4.0,7,0.43,3.4,2,0.5,8.0,0,0,0,3,0.33,1.6,3,0.33,2.9,1
NA1/3745148711,1,0.0,1.4,1,0.0,3.5,4,0.25,2.8,3,0.0,9.5,15,0.47,2.4,7,0.29,1.7,13,0.54,4.5,0,0,0,5,0.6,4.3,2,1.0,10.0,1
NA1/3745278434,7,0.43,2.2,8,0.5,4.2,2,1.0,10.7,6,0.5,4.7,2,1.0,3.7,7,0.43,2.8,18,0.44,2.5,2,0.5,7.3,10,0.6,4.6,1,0.0,0.8,0
NA1/3745288195,0,0,0,13,0.46,2.4,11,0.55,5.1,23,0.65,4.0,10,0.5,2.3,13,0.77,4.3,20,0.8,5.6,13,0.69,3.8,0,0,0,0,0,0,1
NA1/3745447842,4,0.25,3.1,5,0.2,2.7,11,0.45,3.0,4,0.25,2.3,4,0.25,1.8,3,0.67,2.2,7,0.71,4.3,10,0.7,3.7,9,0.44,3.1,0,0,0,1
NA1/3745607540,3,0.67,3.2,10,0.5,2.8,8,0.5,3.7,0,0,0,8,0.13,2.8,2,0.0,1.0,1,0.0,1.6,6,0.17,2.1,4,0.0,2.4,3,0.0,1.9,0
NA1/3745417800,6,0.5,2.3,15,0.53,3.6,14,0.64,6.3,1,0.0,1.6,12,0.67,4.2,8,0.63,2.6,24,0.63,3.2,0,0,0,8,0.38,3.1,18,0.61,4.3,1
NA1/3745567470,14,0.64,2.8,9,0.33,2.3,15,0.47,3.3,26,0.42,3.4,15,0.53,5.2,10,0.3,2.0,0,0,0,13,0.38,4.0,3,0.67,3.4,4,0.75,4.5,1
NA1/3745407851,6,0.67,5.0,6,0.83,7.3,10,0.3,1.6,9,0.78,4.9,36,0.67,3.1,2,0.5,1.4,9,0.56,3.6,2,1.0,6.6,26,0.62,3.8,26,0.58,3.0,1
NA1/3745597012,6,0.0,0.8,1,0.0,0.6,2,0.0,0.9,1,0.0,1.0,4,0.75,2.2,4,0.5,2.6,1,1.0,17.0,6,0.33,2.6,8,0.38,3.1,3,0.67,5.9,1
6923-9255,46,0.63,4.9,24,0.5,3.5,20,0.4,2.8,3,0.0,0.8,12,0.33,2.4,27,0.48,2.2,1,1.0,4.5,24,0.54,3.8,3,0.33,2.3,2,0.5,2.7,1
NA1/3745458005,4,0.5,2.4,5,0.2,2.6,2,0.0,1.0,3,0.0,9.5,17,0.59,3.2,7,0.43,2.5,7,0.43,3.4,0,0,0,6,0.67,3.5,4,0.75,4.8,1
NA1/3745298302,9,0.56,3.0,4,0.25,1.1,6,0.5,1.9,4,0.75,3.4,20,0.55,2.4,2,0.0,1.8,5,0.4,4.4,0,0,0,21,0.38,2.9,14,0.43,3.4,0
NA1/3745278905,6,0.5,2.2,18,0.44,2.5,1,0.0,1.3,10,0.6,4.6,1,0.0,0.8,7,0.43,2.2,8,0.5,4.2,2,0.5,4.0,6,0.5,4.7,5,0.2,3.1,1
NA1/3745567953,3,0.33,3.1,7,0.71,3.5,0,0,0,7,0.57,3.3,4,0.25,4.3,6,0.17,1.0,6,0.5,2.5,10,0.4,3.0,0,0,0,5,0.4,2.7,0
NA1/3745408302,6,0.17,2.3,1,0.0,0.7,2,0.0,0.4,8,0.13,1.6,3,0.0,1.1,7,0.29,1.6,5,0.2,1.7,0,0,0,7,0.14,0.9,1,1.0,4.5,1
NA1/3745369025,0,0,0,10,0.4,2.7,3,0.33,2.5,23,0.65,4.0,9,0.56,5.2,10,0.7,3.9,6,0.67,4.8,2,0.5,2.7,0,0,0,0,0,0,0
NA1/3745278933,14,0.57,2.3,4,0.25,2.1,1,0.0,4.5,26,0.42,3.4,2,0.5,2.4,26,0.38,2.7,0,0,0,13,0.38,4.0,13,0.54,3.2,11,0.55,3.0,1
NA1/3745369076,11,0.27,2.7,17,0.41,3.2,34,0.47,3.3,0,0,0,11,0.64,3.6,3,0.67,2.6,3,0.67,4.4,4,0.25,3.6,6,0.67,7.1,2,0.5,3.5,1
NA1/3745408382,1,0.0,0.9,3,0.33,3.0,2,0.5,2.6,5,0.2,2.4,8,0.13,2.4,13,0.46,1.8,3,0.67,2.1,5,0.4,1.8,18,0.44,3.0,1,1.0,22.0,1
NA1/3745608137,1,0.0,0.0,3,0.0,1.9,1,0.0,0.0,4,0.0,2.4,2,0.0,1.2,4,0.25,1.3,6,0.33,3.5,2,0.5,2.9,0,0,0,5,0.6,5.2,1
NA1/3745369091,27,0.44,3.8,12,0.67,3.6,4,0.25,3.1,11,0.73,4.8,16,0.56,3.0,3,0.33,1.8,16,0.75,4.7,2,0.5,5.0,43,0.58,4.6,12,0.83,4.3,1
NA1/3745398634,21,0.67,2.9,11,0.64,3.7,2,0.5,3.3,15,0.53,6.9,29,0.69,5.2,9,0.33,1.5,3,0.67,4.2,0,0,0,5,0.8,4.3,19,0.74,2.9,1
